Timestamp,Ref.,Weight,Number,,,,,,,
9/4/24 16:37,D15L05,0.0176,1,,,,,,,
9/4/24 17:00,K18L10,0.0147,5,,,,,,,
9/4/24 16:42,D15L01,0,0,,,,,,,
9/4/24 17:16,K18L01,0.012,2,,,,,,,
9/4/24 16:35,D15L07,0.005,2,,,,,,,
9/4/24 16:36,D15L06,0.01,1,,,,,,,
9/4/24 16:32,D15L09,0.0061,9,,,,,,,
9/4/24 17:08,K18L07,0.0644,9,,,,,,,
9/4/24 16:33,D15L08,0.0064,5,,,,,,,
9/4/24 17:05,K18L09,0.0038,1,,,,,,,
9/4/24 17:13,K18L03,0.0139,4,,,,,,,
9/4/24 17:07,K18L08,0.0124,7,,,,,,,
9/4/24 17:12,K18L04,0.0705,20,,,,,,,
9/4/24 17:11,K18L05,0.0131,4,,,,,,,
9/4/24 17:10,K18L06,0.013,13,,,,,,,
9/4/24 16:38,D15L04,0,0,,,,,,,
10/4/24 10:13,H15L09,0.0083,6,,,,,,,
9/4/24 16:31,D15L10,0.0102,1,,,,,,,
9/4/24 17:14,K18L02,0.0161,3,,,,,,,
9/4/24 11:07,P15L05,0.044,4,,,,,,,
9/4/24 11:00,P15L10,0.011,3,,,,,,,
9/4/24 11:09,P15L04,0.0097,6,,,,,,,
9/4/24 11:10,P15L03,0.0067,2,,,,,,,
9/4/24 11:51,Q17L01,0.0401,6,,,,,,,
9/4/24 11:48,Q17L04,0.0052,4,,,,,,,
9/4/24 11:02,P15L09,0.0049,5,,,,,,,
9/4/24 11:03,P15L08,0.0137,4,,,,,,,
10/4/24 07:51,Q17L08,0.0434,2,,,,,,,
10/4/24 07:50,Q17L09,0.0799,3,,,,,,,
10/4/24 08:46,D15L10,0.0074,3,,,,,,,
10/4/24 10:24,H15L01,0.0162,1,,,,,,,
10/4/24 08:50,D15L08,0.0054,3,,,,,,,
10/4/24 07:00,P15L10,0.331,2,,,,,,,
10/4/24 07:59,Q17L03,0.0395,4,,,,,,,
10/4/24 08:48,D15L09,0.0025,2,,,,,,,
10/4/24 08:00,Q17L02,0.0074,7,,,,,,,
10/4/24 08:01,Q17L01,0.017,2,,,,,,,
10/4/24 07:54,Q17L06,0.0129,1,,,,,,,
10/4/24 09:29,K18L10,0.0215,2,,,,,,,
10/4/24 09:39,K18L03,0.0167,1,,,,,,,
10/4/24 09:37,K18L04,0.004,2,,,,,,,
10/4/24 10:19,H15L04,0.0098,1,,,,,,,
10/4/24 07:48,Q17L10,0.0057,2,,,,,,,
10/4/24 10:21,H15L03,0.0188,4,,,,,,,
10/4/24 07:53,Q17L07,0.0061,2,,,,,,,
10/4/24 09:30,K18L09,0.004,2,,,,,,,
10/4/24 09:40,K18L02,0.0251,5,,,,,,,
10/4/24 07:58,Q17L04,0.0104,8,,,,,,,
10/4/24 09:36,K18L05,0.0028,2,,,,,,,
10/4/24 09:32,K18L08,0.0466,12,,,,,,,
10/4/24 10:14,H15L08,0.0206,2,,,,,,,
10/4/24 07:56,Q17L05,0.0607,4,,,,,,,
10/4/24 09:35,K18L06,0.0868,9,,,,,,,
10/4/24 10:18,H15L05,0.0054,1,,,,,,,
10/4/24 09:33,K18L07,0.0445,7,,,,,,,
9/4/24 22:33,H15L06,0,0,,,,,,,
9/4/24 15:39,Q17L09,0,0,,,,,,,
9/4/24 22:26,H15L10,0,0,,,,,,,
9/4/24 19:44,Q17L10,0,0,,,,,,,
9/4/24 19:46,Q17L09,0,0,,,,,,,
9/4/24 19:50,Q17L07,0,0,,,,,,,
9/4/24 17:46,H15L04,0,0,,,,,,,
9/4/24 15:44,Q17L05,0,0,,,,,,,
9/4/24 15:41,Q17L07,0,0,,,,,,,
9/4/24 19:53,Q17L05,0,0,,,,,,,
9/4/24 15:04,P15L07,0,0,,,,,,,
9/4/24 22:39,H15L02,0,0,,,,,,,
9/4/24 19:13,P15L01,0,0,,,,,,,
9/4/24 19:01,P15L09,0,0,,,,,,,
9/4/24 19:11,P15L02,0,0,,,,,,,
10/4/24 08:59,D15L01,0,0,,,,,,,
9/4/24 21:08,D15L01,0,0,,,,,,,
10/4/24 08:55,D15L04,0,0,,,,,,,
9/4/24 11:42,Q17L08,0,0,,,,,,,
9/4/24 17:44,H15L06,0,0,,,,,,,
10/4/24 08:58,D15L02,0,0,,,,,,,
9/4/24 17:40,H15L09,0,0,,,,,,,
9/4/24 11:12,P15L01,0,0,,,,,,,
9/4/24 21:06,D15L02,0,0,,,,,,,
9/4/24 12:46,D15L03,0,0,,,,,,,
9/4/24 20:53,D15L09,0,0,,,,,,,
9/4/24 20:59,D15L06,0,0,,,,,,,
9/4/24 12:42,D15L06,0,0,,,,,,,
9/4/24 12:45,D15L04,0,0,,,,,,,
10/4/24 10:17,H15L06,0,0,,,,,,,
10/4/24 10:16,H15L07,0,0,,,,,,,
10/4/24 10:12,H15L10,0,0,,,,,,,
10/4/24 10:23,H15L02,0,0,,,,,,,
9/4/24 16:40,D15L03,0,0,,,,,,,
9/4/24 11:04,P15L07,0,0,,,,,,,
10/4/24 07:04,P15L07,0,0,,,,,,,
