Timestamp,Ref,Weight,Number
3/8/23 07:45,Q17L06,0.1871,NA
3/8/23 07:49,Q17L09,0.0883,NA
3/8/23 08:21,K18L01,0.0536,NA
3/8/23 08:23,K18L02,0,NA
3/8/23 08:24,K18L03,0.0698,NA
3/8/23 08:25,K18L04,0,NA
3/8/23 08:26,K18L05,0.05,NA
3/8/23 08:27,K18L06,0.0037,NA
3/8/23 08:28,K18L07,0,NA
3/8/23 08:29,K18L08,0,NA
3/8/23 08:30,K18L09,0.0726,NA
3/8/23 08:31,K18L10,0,NA
3/8/23 09:02,D15L01,0.0846,NA
3/8/23 09:03,D15L02,0,NA
3/8/23 09:05,D15L03,0.003,NA
3/8/23 09:05,K18L03,0,NA
3/8/23 09:06,D15L04,0,NA
3/8/23 09:07,D15L05,0,NA
3/8/23 09:08,D15L06,0,NA
3/8/23 09:10,D15L08,0,NA
3/8/23 09:11,D15L09,0.0257,NA
3/8/23 09:12,D15L10,0,NA
3/8/23 09:16,H15L01,0,NA
3/8/23 09:17,H15L02,0,NA
3/8/23 09:18,H15L03,0.0142,NA
3/8/23 09:19,H15L04,0,NA
3/8/23 09:20,H15L05,0.1111,NA
3/8/23 09:21,H15L06,0.1787,NA
3/8/23 09:22,H15L07,0.0114,NA
3/8/23 09:23,H15L08,0.1373,NA
3/8/23 09:24,H15L09,0.0503,NA
3/8/23 09:25,H15L10,0,NA
3/8/23 11:02,P15L02,0,NA
3/8/23 11:03,P15L07,0,NA
3/8/23 11:03,P15L03,0,NA
3/8/23 11:04,P15L04,0,NA
3/8/23 11:05,P15L05,0,NA
3/8/23 11:06,P15L06,0,NA
3/8/23 11:09,P15L08,0,NA
3/8/23 11:10,P15L09,0,NA
3/8/23 11:11,P15L10,0.0037,NA
3/8/23 11:46,Q17L01,0,NA
3/8/23 11:48,Q17L03,0,NA
3/8/23 11:50,Q17L04,0,NA
3/8/23 11:51,Q17L05,0,NA
3/8/23 11:52,Q17L06,0.0107,NA
3/8/23 11:53,Q17L07,0,NA
3/8/23 11:54,Q17L08,0.1478,NA
3/8/23 11:55,Q17L09,0.0427,NA
3/8/23 11:56,Q17L10,0,NA
3/8/23 12:30,K18L01,0.0096,NA
3/8/23 12:31,K18L02,0.0231,NA
3/8/23 12:33,K18L03,0.0282,NA
3/8/23 12:34,K18L04,0.0364,NA
3/8/23 12:35,K18L05,0.0023,NA
3/8/23 12:37,K18L06,0.0147,NA
3/8/23 12:38,K18L07,0,NA
3/8/23 12:39,K18L08,0,NA
3/8/23 12:40,K18L09,0.0381,NA
3/8/23 12:41,K18L10,0,NA
3/8/23 12:47,Q17L02,0.0116,NA
3/8/23 13:14,D15L01,0.0068,NA
3/8/23 13:15,D15L02,0,NA
3/8/23 13:17,D15L03,0,NA
3/8/23 13:18,D15L04,0,NA
3/8/23 13:19,D15L05,0,NA
3/8/23 13:20,D15L06,0,NA
3/8/23 13:21,D15L07,0.0573,NA
3/8/23 13:23,D15L08,0.0103,NA
3/8/23 13:24,D15L09,0.0273,NA
3/8/23 13:25,D15L10,0.0399,NA
3/8/23 13:30,H15L01,0.0532,NA
3/8/23 13:31,H15L02,0,NA
3/8/23 13:32,H15L03,0.0519,NA
3/8/23 13:33,H15L04,0.135,NA
3/8/23 13:35,H15L03,0.0206,NA
3/8/23 13:35,H15L06,0.013,NA
3/8/23 13:37,H15L07,0.0126,NA
3/8/23 13:39,H15L08,0.0349,NA
3/8/23 13:40,H15L09,0,NA
3/8/23 13:41,H15L10,0.0156,NA
3/8/23 15:00,P15L01,0,NA
3/8/23 15:01,P15L02,0,NA
3/8/23 15:02,P15L03,0.0467,NA
3/8/23 15:04,P15L04,0.098,NA
3/8/23 15:06,P15L05,0.0946,NA
3/8/23 15:07,P15L06,0,NA
3/8/23 15:09,P15L07,0,NA
3/8/23 15:10,P15L08,0.0297,NA
3/8/23 15:11,P15L09,0,NA
3/8/23 15:12,P15L10,0.0058,NA
3/8/23 15:28,Q17L08,0.0165,NA
3/8/23 15:41,Q17L01,0,NA
3/8/23 15:42,Q17L02,0.0157,NA
3/8/23 15:43,Q17L03,0.0465,NA
3/8/23 15:44,Q17L04,0.0563,NA
