Timestamp,Ref,Weight,Number
9/8/23 11:00,O18L01,0,NA
9/8/23 11:01,O18L02,0.0076,NA
9/8/23 11:02,O18L03,0.0377,NA
9/8/23 11:04,O18L04,0,NA
9/8/23 11:05,O18L05,0,NA
9/8/23 11:06,O18L06,0,NA
9/8/23 11:07,O18L07,,NA
9/8/23 11:09,O18L08,0,NA
9/8/23 11:10,O18L09,0.0415,NA
9/8/23 11:11,O18L10,0.1237,NA
9/8/23 11:40,L17L01,0.1056,NA
9/8/23 11:41,L17L02,,NA
9/8/23 11:42,L17L05,0,NA
9/8/23 11:43,L17L04,,NA
9/8/23 11:45,L17L05,0.0027,NA
9/8/23 11:47,L17L06,0,NA
9/8/23 11:48,L17L07,0.07,NA
9/8/23 11:49,L17L08,0,NA
9/8/23 11:50,L17L09,,NA
9/8/23 11:51,L17L02,,NA
9/8/23 12:10,L15L01,,NA
9/8/23 12:11,L15L02,0,NA
9/8/23 12:12,L15L03,0,NA
9/8/23 12:13,L15L04,,NA
9/8/23 12:14,L15L05,,NA
9/8/23 12:15,L15L06,0,NA
9/8/23 12:16,L15L07,0,NA
9/8/23 12:18,L15L08,,NA
9/8/23 12:19,L15L09,,NA
9/8/23 12:21,L15L10,,NA
9/8/23 12:45,J13L01,0,NA
9/8/23 12:46,J13L02,,NA
9/8/23 12:47,J13L03,,NA
9/8/23 12:48,J13L04,,NA
9/8/23 12:49,J13L03,,NA
9/8/23 12:50,J13L06,,NA
9/8/23 12:52,J13L07,,NA
9/8/23 12:53,J13L08,,NA
9/8/23 12:54,J13L09,,NA
9/8/23 12:55,J13L10,,NA
9/8/23 13:13,J15L01,0,NA
9/8/23 13:13,J15L03,0,NA
9/8/23 13:14,J15L02,0,NA
9/8/23 13:16,J15L04,0,NA
9/8/23 13:17,J15L05,0,NA
9/8/23 13:19,J15L06,0,NA
9/8/23 13:20,J15L07,0,NA
9/8/23 13:21,J15L08,0,NA
9/8/23 13:22,J15L09,0,NA
9/8/23 13:23,J15L10,0,NA
