Timestamp,Ref.,Weight,Number
11/3/25 14:55,H15L08,0,0
11/3/25 14:59,H15L04,0.0367,9
11/3/25 14:58,H15L05,0.0217,4
11/3/25 14:25,K18L02,0.1974,9
11/3/25 15:00,H15L03,0.0326,6
11/3/25 14:57,H15L06,0.0333,2
11/3/25 14:21,K18L05,0.0812,17
11/3/25 14:18,K18L07,0.1996,8
11/3/25 14:15,K18L10,0.0216,5
11/3/25 14:16,K18L09,0.0323,9
11/3/25 14:23,K18L03,0.0502,10
11/3/25 14:20,K18L06,0.0638,18
11/3/25 12:52,P15L05,0.0061,5
11/3/25 12:47,P15L09,0.0194,8
11/3/25 14:26,K18L01,2.1009,16
11/3/25 14:22,K18L04,0.1316,12
11/3/25 14:17,K18L08,0.0669,17
11/3/25 12:51,P15L06,0.0526,44
11/3/25 12:53,P15L04,0.0467,29
11/3/25 12:54,P15L03,0.0179,4
11/3/25 12:48,P15L08,0.0123,3
11/3/25 12:46,P15L10,0.0528,6
11/3/25 12:49,P15L07,0.0646,32
11/3/25 12:55,P15L02,0.0103,4
11/3/25 12:56,P15L01,0.2136,2
11/3/25 15:03,H15L01,0.3951,7
11/3/25 15:02,H15L02,0.0341,9
11/3/25 13:04,Q17L09,0.0505,6
11/3/25 14:54,H15L09,0.0445,5
11/3/25 14:53,H15L10,0.0261,1
11/3/25 14:56,H15L07,0.0054,2
11/3/25 13:35,Q17L08,0.0271,4
11/3/25 13:03,Q17L10,0.0313,4
11/3/25 13:36,Q17L07,0.1765,2
11/3/25 13:36,Q17L06,0.1095,8
11/3/25 13:39,Q17L05,0.0295,3
11/3/25 13:41,Q17L03,0.0612,4
11/3/25 13:43,Q17L01,0.0362,4
11/3/25 13:42,Q17L02,0.0216,3
11/3/25 13:40,Q17L04,0.0417,9
11/3/25 12:01,D15L09,0.2341,10
11/3/25 12:07,D15L04,0,0
11/3/25 12:04,D15L07,0.1561,
11/3/25 12:09,D15L03,0,0
11/3/25 12:05,D15L06,0.1261,8
11/3/25 12:11,D15L01,0.2808,2
11/3/25 12:03,D15L08,0.8671,22
11/3/25 12:06,D15L05,0.1491,4
11/3/25 12:10,D15L02,0,0
11/3/25 12:00,D15L10,0.0306,4
11/3/25 18:42,H15L07,0.0094,4
11/3/25 18:46,H15L03,0.0007,1
11/3/25 18:44,H15L05,0.0011,1
11/3/25 18:43,H15L06,0.0152,2
11/3/25 18:39,H15L10,0.0717,3
11/3/25 18:41,H15L08,0.0057,1
11/3/25 17:33,Q17L10,0.1409,2
11/3/25 18:49,H15L01,0,0
11/3/25 18:45,H15L04,0.0059,4
11/3/25 17:34,Q17L09,0.0845,32
11/3/25 18:40,H15L09,0.0551,3
11/3/25 18:48,H15L02,0,0
11/3/25 17:42,Q17L01,0.0022,1
11/3/25 17:39,Q17L04,0.022,2
11/3/25 17:40,Q17L03,0.3059,19
11/3/25 16:06,D15L05,0,0
11/3/25 17:35,Q17L08,0.0679,
11/3/25 17:37,Q17L06,0.1897,
11/3/25 16:04,D15L07,0.0411,1
11/3/25 17:38,Q17L05,0.0666,7
11/3/25 16:05,D15L06,0,0
11/3/25 16:02,D15L08,0,0
11/3/25 17:36,Q17L07,0.1125,9
11/3/25 16:01,D15L09,0.0151,2
11/3/25 17:41,Q17L02,0.0681,5
11/3/25 18:09,K18L08,0.1328,11
11/3/25 18:13,K18L04,0.118,12
11/3/25 18:11,K18L06,0.1109,
11/3/25 18:10,K18L07,0.0878,15
11/3/25 18:08,K18L09,0.0989,5
11/3/25 18:14,K18L03,0.0966,5
11/3/25 18:16,K18L01,0.2721,9
11/3/25 18:15,K18L02,0.0281,5
11/3/25 18:07,K18L10,0.0277,10
11/3/25 18:12,K18L05,0.0303,6
11/3/25 17:00,P15L06,0.0089,5
11/3/25 17:04,P15L03,0.0443,6
11/3/25 17:05,P15L02,0.0057,3
11/3/25 16:56,P15L10,0.0732,6
11/3/25 17:06,P15L01,0.0101,5
11/3/25 16:10,D15L02,0.0018,1
11/3/25 17:02,P15L05,0.0111,4
11/3/25 16:57,P15L09,0,0
11/3/25 16:58,P15L08,0.0656,4
11/3/25 16:00,D15L10,0.0123,1
11/3/25 16:11,D15L01,0.0012,1
11/3/25 16:09,D15L03,0.0284,6
11/3/25 17:03,P15L04,0.0301,3
11/3/25 16:07,D15L04,0.0475,1
