Timestamp,Ref.,Weight,Number,,,
28/5/24 13:45,J15L03,0,0,,,
28/5/24 11:00,J13L10,0.1032,86,,,
28/5/24 13:44,J15L04,0.0036,1,,,
28/5/24 13:43,J15L05,0.0031,1,,,
28/5/24 13:41,J15L06,0,0,,,
28/5/24 12:07,O18L01,0.0126,6,,,
28/5/24 11:57,O18L09,0,0,,,
28/5/24 13:38,J15L09,0,0,,,
28/5/24 11:05,J13L07,0.0068,13,,,
28/5/24 11:59,O18L07,0.0109,9,,,
28/5/24 11:55,O18L10,0,0,,,
28/5/24 12:02,O18L05,0,0,,,
28/5/24 12:04,O18L04,0.0052,4,,,
28/5/24 11:12,J13L01,0.0026,3,,,
28/5/24 11:05,J13L06,0,0,,,
28/5/24 11:06,J13L05,0.0051,2,,,
28/5/24 11:07,J13L04,0,0,,,
28/5/24 11:09,J13L03,0.0034,3,,,
28/5/24 11:59,O18L08,0.0164,1,,,
28/5/24 12:01,O18L06,0.0503,9,,,
28/5/24 12:05,O18L03,0.0228,9,,,
28/5/24 12:06,O18L02,0.0033,1,,,
28/5/24 11:01,J13L09,0,0,,,
28/5/24 11:10,J13L02,0,0,,,
28/5/24 11:03,J13L08,0.0014,3,,,
28/5/24 13:13,L17L03,0.0105,5,,,
28/5/24 13:10,L17L06,0.0014,1,,,
28/5/24 13:16,L17L01,0.0121,7,,,
28/5/24 13:08,L17L08,0,0,,,
28/5/24 13:14,L17L02,0.0029,3,,,
28/5/24 13:47,J15L01,0,0,,,
28/5/24 13:46,J15L02,0.0032,3,,,
28/5/24 13:39,J15L08,0,0,,,
28/5/24 13:37,J15L10,0,0,,,
28/5/24 13:40,J15L07,0.0055,9,,,
28/5/24 12:40,L15L09,0,0,,,
28/5/24 13:09,L17L07,0.0156,12,,,
28/5/24 13:12,L17L04,0.0037,2,,,
28/5/24 13:11,L17L05,0.0077,4,,,
28/5/24 12:41,L15L08,0.0011,1,,,
28/5/24 13:06,L17L09,0.0068,7,,,
28/5/24 12:45,L15L05,0,0,,,
28/5/24 13:05,L17L10,0,0,,,
28/5/24 12:50,L15L01,0.0045,2,,,
28/5/24 12:39,L15L10,0.0021,1,,,
28/5/24 12:43,L15L07,0.0029,3,,,
28/5/24 12:44,L15L06,0,0,,,
28/5/24 12:48,L15L03,0.0939,2,,,
28/5/24 12:46,L15L04,0.0033,3,,,
28/5/24 12:49,L15L02,0.0201,5,,,
28/5/24 19:04,J13L07,0.0315,4,,,
28/5/24 19:00,J13L10,0.0143,15,,,
28/5/24 21:35,L17L04,0.0005,1,,,
28/5/24 21:38,L17L02,0.0018,1,,,
28/5/24 21:40,L17L01,0.0025,4,,,
28/5/24 19:02,J13L08,0.0018,3,,,
28/5/24 22:12,J15L02,0.0022,2,,,
