Timestamp,Ref.,Weight,Number, 
2/7/24 21:02,P15L03,0,0,
2/7/24 21:03,P15L02,0.0165,1,
2/7/24 20:24,Q17L09,0.0161,1,
2/7/24 20:56,P15L09,0,0,
2/7/24 20:30,Q17L03,0.0213,2,
3/7/24 08:33,Q17L01,0.2189,2,
3/7/24 07:48,K18L01,0,0,
3/7/24 09:46,D15L07,0.0028,2,
3/7/24 09:50,D15L03,0.0431,1,
3/7/24 09:47,D15L06,0,0,
3/7/24 09:50,D15L02,0,0,
3/7/24 07:44,K18L06,0,0,
3/7/24 07:47,K18L03,0.0139,2,
3/7/24 07:40,K18L10,0,0,
3/7/24 07:11,H15L03,0.0168,1,
3/7/24 07:10,H15L04,0,0,
3/7/24 07:42,K18L08,0.0078,1,
3/7/24 07:43,K18L07,0.0077,1,
3/7/24 07:02,H15L09,0,0,
3/7/24 07:41,K18L09,0,0,
3/7/24 07:08,H15L06,0.0006,1,
3/7/24 07:45,K18L05,0,0,
3/7/24 07:14,H15L01,0,0,
3/7/24 07:12,H15L02,0,0,
3/7/24 07:48,K18L02,0,0,
3/7/24 07:00,H15L10,0.0465,1,
3/7/24 07:46,K18L04,0,0,
3/7/24 07:09,H15L05,0.139,2,
3/7/24 07:07,H15L07,0,0,
3/7/24 07:04,H15L08,0,0,
3/7/24 08:24,Q17L10,0.0013,1,
3/7/24 08:59,P15L07,0,0,
3/7/24 09:02,P15L04,0,0,
3/7/24 09:00,P15L06,0.0241,2,
3/7/24 09:43,D15L10,0.0145,1,
3/7/24 09:04,P15L02,0,0,
3/7/24 09:44,D15L09,0,0,
3/7/24 09:45,D15L08,0.0011,1,
3/7/24 09:51,D15L01,0.003,1,
3/7/24 09:48,D15L04,0.00107,1,
3/7/24 09:48,D15L05,2.2019,1,
3/7/24 08:30,Q17L04,0.0023,1,
3/7/24 08:32,Q17L02,0,0,
3/7/24 09:05,P15L01,0.0073,1,
3/7/24 08:31,Q17L03,0.0137,1,
3/7/24 09:03,P15L03,0,0,
3/7/24 08:57,P15L10,0,0,
3/7/24 09:01,P15L05,0,0,
3/7/24 08:59,P15L08,0,0,
3/7/24 08:58,P15L09,0.0011,1,
3/7/24 08:27,Q17L07,0.0354,2,
3/7/24 08:26,Q17L08,0.0012,1,
3/7/24 08:29,Q17L05,0.0253,2,
3/7/24 08:28,Q17L06,0.0427,3,
3/7/24 08:25,Q17L09,0,0,
