Timestamp,Ref.,Weight,Number
28/1/25 17:22,P15L09,0.0109,6
28/1/25 17:31,P15L01,0.1715,8
28/1/25 18:45,K18L10,0.0038,1
28/1/25 17:21,P15L10,0.0045,3
28/1/25 18:05,Q17L05,0.0091,2
28/1/25 18:02,Q17L08,0.0177,8
28/1/25 17:30,P15L02,0.0173,2
28/1/25 17:29,P15L03,0.0037,2
28/1/25 18:07,Q17L04,0.2673,7
28/1/25 18:09,Q17L02,0.0685,4
28/1/25 18:49,K18L06,0.0306,5
28/1/25 17:28,P15L04,0.0036,3
28/1/25 18:00,Q17L10,0.0693,5
28/1/25 18:04,Q17L06,0.0018,6
28/1/25 16:04,H15L07,0.0117,1
28/1/25 18:01,Q17L09,0.0892,3
28/1/25 17:27,P15L05,0.0043,3
28/1/25 18:48,K18L07,0.0557,20
28/1/25 18:47,K18L08,0.0061,7
28/1/25 16:27,D15L01,0.0112,2
28/1/25 18:03,Q17L07,0.0231,1
28/1/25 16:16,D15L10,0.0167,1
28/1/25 18:53,K18L03,0.0085,3
28/1/25 16:26,D15L02,0.0073,4
28/1/25 18:51,K18L05,0.0337,6
28/1/25 18:52,K18L04,0.0256,15
28/1/25 16:20,D15L07,0.0046,4
28/1/25 18:56,K18L01,0.3225,26
28/1/25 18:55,K18L02,0.0038,4
28/1/25 18:10,Q17L01,0.1195,7
28/1/25 18:46,K18L09,0.0035,4
28/1/25 16:09,H15L03,0.0175,1
28/1/25 20:29,D15L05,0.0109,3
28/1/25 20:01,H15L09,0.0035,4
28/1/25 20:34,D15L01,0.0196,7
28/1/25 20:25,D15L08,0.0112,5
28/1/25 20:24,D15L09,0.0076,2
28/1/25 20:23,D15L10,0.0101,2
28/1/25 20:00,H15L10,0.0139,6
28/1/25 20:33,D15L02,0.0053,2
28/1/25 20:04,H15L07,0.0437,13
28/1/25 20:28,D15L06,0.0192,5
28/1/25 20:30,D15L04,0.0095,16
28/1/25 20:03,H15L08,0.0073,2
28/1/25 20:08,H15L03,0.0822,1
28/1/25 22:32,K18L04,0.0118,10
28/1/25 20:07,H15L04,0.0095,3
28/1/25 20:32,D15L03,0.0049,2
28/1/25 20:10,H15L02,0.0042,3
28/1/25 22:27,K18L09,0.0926,5
28/1/25 20:27,D15L07,0.0168,8
28/1/25 21:20,P15L01,0.0833,4
28/1/25 22:28,K18L08,0.0549,20
28/1/25 21:19,P15L02,0.0009,1
28/1/25 20:11,H15L01,0.0025,2
28/1/25 21:54,Q17L03,0.0616,3
28/1/25 22:33,K18L03,0.0078,8
28/1/25 22:29,K18L07,0.0208,27
28/1/25 22:35,K18L02,0.0871,6
28/1/25 20:06,H15L05,0.0211,7
28/1/25 21:16,P15L05,0.0093,13
28/1/25 21:46,Q17L10,0.0064,3
28/1/25 21:47,Q17L09,0.5001,4
28/1/25 21:15,P15L06,0.0286,2
28/1/25 22:36,K18L01,0.0038,2
28/1/25 20:05,H15L06,0.0025,1
28/1/25 22:26,K18L10,0.0848,3
28/1/25 21:13,P15L07,0.0687,4
28/1/25 21:49,Q17L07,0.0069,2
28/1/25 21:12,P15L08,0.0224,4
28/1/25 21:57,Q17L01,0.0075,2
28/1/25 21:53,Q17L04,0.0051,9
28/1/25 22:31,K18L05,0.0061,2
28/1/25 21:52,Q17L05,0.0003,3
28/1/25 21:51,Q17L06,0.0033,1
28/1/25 12:31,D15L01,0.0423,7
28/1/25 12:02,H15L08,0.0016,2
28/1/25 12:04,H15L07,0.0042,5
28/1/25 12:08,H15L04,0.0043,2
28/1/25 12:10,H15L02,0.0083,4
28/1/25 12:23,D15L06,0.0109,1
28/1/25 12:22,D15L07,0.0162,4
28/1/25 12:28,D15L03,0.0138,4
28/1/25 12:00,H15L10,0.0082,2
28/1/25 12:06,H15L05,0.0058,5
28/1/25 12:12,H15L01,0.0084,6
28/1/25 12:18,D15L10,0.0036,1
28/1/25 12:09,H15L03,0.0105,5
28/1/25 14:56,K18L01,0.0075,4
28/1/25 13:29,P15L07,0.0211,5
28/1/25 12:21,D15L08,0.0254,19
28/1/25 14:55,K18L02,0.0182,7
28/1/25 14:52,K18L04,0.0308,8
28/1/25 13:31,P15L06,0.0413,32
28/1/25 12:30,D15L02,0.0157,10
28/1/25 13:26,P15L10,0.0349,7
28/1/25 13:27,P15L09,0.0181,2
28/1/25 14:53,K18L03,0.0139,4
28/1/25 12:25,D15L05,0.0704,22
28/1/25 13:35,P15L04,0.0152,6
28/1/25 14:14,Q17L01,0.0293,3
28/1/25 13:32,P15L05,0.0058,3
28/1/25 14:10,Q17L04,0.0342,1
28/1/25 13:38,P15L01,0.0003,1
28/1/25 14:02,Q17L10,0.2115,3
28/1/25 14:11,Q17L03,0.0298,2
28/1/25 14:49,K18L07,0.0306,17
28/1/25 14:09,Q17L05,0.8771,4
28/1/25 14:06,Q17L07,0.1597,4
28/1/25 14:51,K18L05,0.0712,23
28/1/25 14:05,Q17L08,0.0009,1
28/1/25 14:45,K18L10,0.0344,15
