Timestamp,Ref.,Weight,Number
22/5/24 11:00,D15L10,0.0044,8
22/5/24 11:03,D15L09,0.0012,1
22/5/24 11:04,D15L08,0.0102,7
22/5/24 11:06,D15L07,0.006,6
22/5/24 11:07,D15L06,0.0023,2
22/5/24 11:08,D15L05,0,0
22/5/24 11:10,D15L04,0.0053,1
22/5/24 11:11,D15L03,0.0012,1
22/5/24 11:12,D15L02,0,0
22/5/24 11:13,D15L01,0.0011,1
22/5/24 11:21,H15L10,0,0
22/5/24 11:22,H15L09,0.0009,1
22/5/24 11:24,H15L08,0.00033,8
22/5/24 11:26,H15L07,0.0055,9
22/5/24 11:27,H15L06,0.0013,1
22/5/24 11:29,H15L05,0.0056,72
22/5/24 11:30,H15L04,0,0
22/5/24 11:32,H15L03,0.0046,2
22/5/24 11:33,H15L02,0,0
22/5/24 11:35,H15L01,0.0028,7
22/5/24 12:14,P15L10,0,0
22/5/24 12:15,P15L09,0,0
22/5/24 12:16,P15L08,0.0016,2
22/5/24 12:18,P15L07,0,0
22/5/24 12:19,P15L06,0.0368,1
22/5/24 12:20,P15L05,0.0046,14
22/5/24 12:21,P15L04,0.0174,18
22/5/24 12:23,P15L03,0.0027,5
22/5/24 12:24,P15L02,0.0411,1
22/5/24 12:25,P15L01,0.0006,1
22/5/24 12:50,Q17L10,0.002,3
22/5/24 12:52,Q17L09,0,0
22/5/24 12:53,Q17L08,0.0011,3
22/5/24 12:54,Q17L07,0.0057,1
22/5/24 12:55,Q17L06,0.0352,1
22/5/24 12:57,Q17L05,0.0105,1
22/5/24 12:58,Q17L04,0.016,5
22/5/24 12:59,Q17L03,0.0038,4
22/5/24 13:00,Q17L02,0.0759,2
22/5/24 13:02,Q17L01,0.0008,2
22/5/24 13:34,K18L10,0.0013,2
22/5/24 13:35,K18L09,0.0511,16
22/5/24 13:36,K18L08,0.0123,9
22/5/24 13:37,K18L07,0.0298,18
22/5/24 13:38,K18L06,0.0268,16
22/5/24 13:39,K18L05,0.0202,19
22/5/24 13:41,K18L04,0.018,14
22/5/24 13:42,K18L03,0.0138,3
22/5/24 13:43,K18L02,0.0123,7
22/5/24 13:44,K18L01,0.0188,19
22/5/24 15:00,D15L10,0.0121,14
22/5/24 15:02,D15L09,0.0043,1
22/5/24 15:03,D15L08,0,0
22/5/24 15:04,D15L07,0.0365,3
22/5/24 15:06,D15L06,0.0027,1
22/5/24 15:07,D15L05,0.0087,1
22/5/24 15:08,D15L04,0.0092,1
22/5/24 15:09,D15L03,0.0173,2
22/5/24 15:10,D15L02,0.0041,1
22/5/24 15:11,D15L01,0.0041,2
22/5/24 15:16,H15L10,0,0
22/5/24 15:17,H15L09,0.001,1
22/5/24 15:18,H15L08,0.0042,2
22/5/24 15:19,H15L07,0.0049,3
22/5/24 15:20,H15L06,0.0158,1
22/5/24 15:22,H15L05,0,0
22/5/24 15:23,H15L04,0.0025,1
22/5/24 15:24,H15L03,0.0031,1
22/5/24 15:25,H15L02,0.0022,1
22/5/24 15:26,H15L01,0.0103,5
22/5/24 16:00,P15L10,0.0078,2
22/5/24 16:02,P15L09,0.0066,2
22/5/24 16:03,P15L08,0.0065,1
22/5/24 16:04,P15L07,0.0144,2
22/5/24 16:05,P15L06,0.0543,1
22/5/24 16:06,P15L05,0.0005,3
22/5/24 16:07,P15L04,0.0056,5
22/5/24 16:08,P15L03,0.0107,2
22/5/24 16:09,P15L02,0,0
22/5/24 16:10,P15L01,0.1087,1
22/5/24 16:36,Q17L10,0.0214,6
22/5/24 16:37,Q17L09,0.0117,5
22/5/24 16:38,Q17L08,0,0
22/5/24 16:39,Q17L07,0.0399,3
22/5/24 16:40,Q17L06,0.0038,1
22/5/24 16:41,Q17L05,0.0062,1
22/5/24 16:42,Q17L04,0.048,5
22/5/24 16:43,Q17L03,0.002,2
22/5/24 16:44,Q17L02,0.0013,2
22/5/24 16:45,Q17L01,0.0168,3
22/5/24 17:25,K18L10,0.0063,4
