Timestamp,Ref.,Weight,Number,,,,,,
20/8/24 15:32,J15L10,0,0,,,,,,
20/8/24 19:30,J15L07,0,0,,,,,,
20/8/24 21:30,L15L07,0,0,,,,,,
20/8/24 20:58,L17L03,0,0,,,,,,
20/8/24 21:29,L15L08,0,0,,,,,,
20/8/24 20:57,L17L04,0,0,,,,,,
20/8/24 16:50,L17L08,0,0,,,,,,
20/8/24 21:27,L15L09,0,0,,,,,,
20/8/24 20:49,L17L09,0,0,,,,,,
20/8/24 20:48,L17L10,0,0,,,,,,
20/8/24 16:57,L17L02,0,0,,,,,,
20/8/24 16:55,L17L04,0,0,,,,,,
20/8/24 21:26,L15L10,0,0,,,,,,
20/8/24 16:49,L17L09,0,0,,,,,,
20/8/24 16:21,O18L05,0,0,,,,,,
20/8/24 16:20,O18L06,0,0,,,,,,
20/8/24 16:51,L17L07,0,0,,,,,,
20/8/24 15:43,J15L02,0,0,,,,,,
20/8/24 20:20,O18L06,0,0,,,,,,
20/8/24 15:37,J15L07,0,0,,,,,,
20/8/24 15:44,J15L01,0,0,,,,,,
20/8/24 15:34,J15L09,0,0,,,,,,
20/8/24 17:21,L15L07,0,0,,,,,,
20/8/24 17:17,L15L10,0,0,,,,,,
20/8/24 19:09,J13L02,0,0,,,,,,
20/8/24 19:07,J13L04,0,0,,,,,,
20/8/24 17:25,L15L03,0,0,,,,,,
20/8/24 19:03,J13L08,0,0,,,,,,
20/8/24 19:27,J15L10,0,0,,,,,,
20/8/24 20:22,O18L05,0,0,,,,,,
20/8/24 20:18,O18L08,0,0,,,,,,
20/8/24 19:28,J15L09,0,0,,,,,,
20/8/24 20:24,O18L03,0,0,,,,,,
20/8/24 15:01,J13L09,0,0,,,,,,
21/8/24 10:20,L15L04,0.1521,1,,,,,,
21/8/24 08:57,O18L04,0.0035,2,,,,,,
21/8/24 09:35,L17L05,0.0487,2,,,,,,
21/8/24 08:51,O18L09,0.0005,1,,,, ,,
21/8/24 08:49,O18L10,0.0126,1,,,,,,
21/8/24 10:13,L15L10,0.1204,1,,,,,,
21/8/24 10:25,L15L01,0.0102,1,,,,,,
21/8/24 09:34,L17L06,0.0135,1,,,,,,
21/8/24 08:56,O18L05,0.0229,1,,,,,,
21/8/24 09:38,L17L02,0.0171,1,,,,,,
21/8/24 10:23,L15L03,0.0754,2,,,,,,
21/8/24 09:39,L17L01,0.0283,1,,,,,,
21/8/24 09:00,O18L01,0.0115,1,,,,,,
21/8/24 10:24,L15L02,0.0029,1,,,,,,
21/8/24 08:54,O18L07,0.2304,2,,,,,,
21/8/24 09:32,L17L07,0.0041,2,,,,,,
21/8/24 07:00,J13L10,0.0426,2,,,,,,
21/8/24 07:46,J15L05,0.0379,3,,,,,,
21/8/24 07:08,J13L07,0.0446,2,,,,,,
21/8/24 07:10,J13L06,0.0279,2,,,,,,
21/8/24 09:30,L17L09,0.0925,2,,,,,,
21/8/24 09:31,L17L08,0.0023,1,,,,,,
21/8/24 07:48,J15L04,0.0198,1,,,,,,
21/8/24 09:37,L17L03,0.0016,1,,,,,,
21/8/24 10:18,L15L06,0.0317,1,,,,,,
21/8/24 07:06,J13L08,0.1698,3,,,,,,
21/8/24 07:14,J13L04,0.0521,1,,,,,,
