Timestamp,Ref.,Weight,Number,,,,,,,,
12/11/24 21:33,J13L03,0.0044,2,,,,,,,,
12/11/24 21:31,J13L05,0.0002,1,,,,,,,,
12/11/24 21:32,J13L04,0.0218,1,,,,,,,,
12/11/24 21:01,J15L04,0.0091,2,,,,,,,,
12/11/24 16:59,J15L03,0.0039,2,,,,,,,,
12/11/24 16:56,J15L05,0.0065,3,,,,,,,,
12/11/24 21:03,J15L02,0.0019,1,,,,,,,,
13/11/24 09:16,J15L06,0.0171,1,,,,,,,,
12/11/24 16:57,J15L04,0.0296,5,,,,,,,,
12/11/24 16:51,J15L10,0.0217,4,,,,,,,,
13/11/24 09:19,J15L04,0.0756,2,,,,,,,,
12/11/24 16:56,J15L06,0.0034,1,,,,,,,,
13/11/24 09:17,J15L05,0.0314,1,,,,,,,,
13/11/24 09:14,J15L08,0.1176,4,,,,,,,,
13/11/24 09:22,J15L02,0.0218,1,,,,,,,,
12/11/24 17:01,J15L01,0.0764,2,,,,,,,,
12/11/24 20:55,J15L08,0.0018,1,,,,,,,,
12/11/24 20:53,J15L10,0.0086,2,,,,,,,,
12/11/24 16:54,J15L08,0.0073,1,,,,,,,,
13/11/24 09:13,J15L09,0.1679,3,,,,,,,,
12/11/24 20:59,J15L05,0.0075,1,,,,,,,,
13/11/24 09:12,J15L10,0.0636,3,,,,,,,,
12/11/24 17:00,J15L02,0.0328,2,,,,,,,,
12/11/24 16:55,J15L07,0.0357,3,,,,,,,,
13/11/24 09:23,J15L01,0.0306,6,,,,,,,,
13/11/24 09:15,J15L07,0.2743,8,,,,,,,,
12/11/24 20:58,J15L06,0.0045,1,,,,,,,,
12/11/24 20:54,J15L09,0.0009,1,,,,,,,,
12/11/24 20:15,O18L02,0.0193,3,,,,,,,,
12/11/24 20:09,O18L07,0.0201,7,,,,,,,,
12/11/24 20:10,O18L06,0.0997,2,,,,,,,,
13/11/24 08:29,O18L01,0.2155,2,,,,,,,,
12/11/24 20:05,O18L10,0.0536,7,,,,,,,,
12/11/24 20:14,O18L03,0.0157,1,,,,,,,,
12/11/24 20:16,O18L01,0.0149,2,,,,,,,,
12/11/24 16:12,O18L05,0.0847,3,,,,,,,,
13/11/24 08:28,O18L02,0.0254,2,,,,,,,,
12/11/24 20:11,O18L05,0.0075,1,,,,,,,,
13/11/24 08:25,O18L04,0.0072,1,,,,,,,,
12/11/24 20:06,O18L09,0.8955,2,,,,,,,,
13/11/24 08:26,O18L03,0.1274,3,,,,,,,,
12/11/24 16:10,O18L06,0.0663,1,,,,,,,,
12/11/24 16:05,O18L10,0.0509,4,,,,,,,,
12/11/24 12:11,O18L05,0.0044,2,,,,,,,,
13/11/24 08:23,O18L05,0.0361,4,,,,,,,,
12/11/24 16:15,O18L02,0.0217,6,,,,,,,,
12/11/24 16:07,O18L08,0.0484,1,,,,,,,,
12/11/24 16:13,O18L04,0.0692,2,,,,,,,,
12/11/24 16:09,O18L07,0.0109,2,,,,,,,,
13/11/24 08:20,O18L07,0.0129,4,,,,,,,,
12/11/24 16:06,O18L09,0.0477,1,,,,,,,,
12/11/24 16:16,O18L01,0.0872,1,,,,,,,,
13/11/24 08:16,O18L10,8.8884,6,,,,,,,,
13/11/24 07:11,L15L02,3.2364,4,,,,,,,,
13/11/24 07:40,L17L08,3.4386,3,,,,,,,,
13/11/24 08:17,O18L09,3.7095,4,,,,,,,,
12/11/24 20:57,J15L07,0,0,,,,,,,,
12/11/24 21:02,J15L03,0,0,,,,,,,,
12/11/24 12:10,O18L08,0,0,,,,,,,,
12/11/24 19:09,L15L03,0,0,,,,,,,,
13/11/24 07:06,L15L06,0,0,,,,,,,,
12/11/24 16:14,O18L03,0,0,,,,,,,,
12/11/24 12:19,O18L01,0,0,,,,,,,,
12/11/24 13:28,J13L08,0,0,,,,,,,,
12/11/24 13:00,J15L07,0,0,,,,,,,,
12/11/24 20:05,J15L01,0,0,,,,,,,,
12/11/24 19:11,L15L01,0,0,,,,,,,,
12/11/24 12:56,J15L10,0,0,,,,,,,,
12/11/24 19:08,L15L04,0,0,,,,,,,,
12/11/24 20:13,O18L04,0,0,,,,,,,,
12/11/24 11:30,L17L10,0,0,,,,,,,,
12/11/24 19:41,L17L02,0,0,,,,,,,,
12/11/24 20:07,O18L08,0,0,,,,,,,,
12/11/24 21:24,J13L10,0,0,,,,,,,,
12/11/24 17:25,J13L03,0,0,,,,,,,,
12/11/24 17:22,J13L05,0,0,,,,,,,,
12/11/24 19:39,L17L04,0,0,,,,,,,,
12/11/24 19:31,L17L10,0,0,,,,,,,,
12/11/24 15:42,L17L02,0,0,,,,,,,,
12/11/24 15:36,L17L07,0,0,,,,,,,,
12/11/24 15:33,L17L09,0,0,,,,,,,,
13/11/24 07:44,L17L06,0,0,,,,,,,,
12/11/24 17:26,J13L02,0,0,,,,,,,,
13/11/24 07:03,L15L08,0,0,,,,,,,,
13/11/24 09:47,J13L08,0,0,,,,,,,,
12/11/24 15:32,L17L10,0,0,,,,,,,,
13/11/24 07:04,L15L07,0,0,,,,,,,,
13/11/24 07:02,L15L09,0,0,,,,,,,,
13/11/24 08:21,O18L06,0,0,,,,,,,,
13/11/24 09:20,J15L03,0,0,,,,,,,,
13/11/24 07:08,L15L04,0,0,,,,,,,,
13/11/24 09:52,J13L04,0,0,,,,,,,,
12/11/24 16:52,J15L09,0,0,,,,,,,,
12/11/24 21:35,J13L02,0,0,,,,,,,,
13/11/24 08:19,O18L08,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
