Timestamp,Ref.,Weight,Number,,,,
17/12/24 11:08,P15L07,0.0756,3,,,,
17/12/24 11:11,P15L10,0.0137,2,,,,
17/12/24 13:01,D15L02,0.0715,10,,,,
17/12/24 11:01,P15L02,0.0258,2,,,,
17/12/24 11:03,P15L03,0.0432,3,,,,
17/12/24 13:00,D15L01,0.0719,16,,,,
17/12/24 11:07,P15L06,0.0166,2,,,,
17/12/24 11:04,P15L04,0.0073,1,,,,
17/12/24 13:04,D15L04,0.0686,1,,,,
17/12/24 11:44,Q17L10,0.1082,2,,,,
17/12/24 11:00,P15L01,0.0811,3,,,,
17/12/24 13:08,D15L08,0.0165,1,,,,
17/12/24 11:32,Q17L01,0.0274,9,,,,
17/12/24 13:27,H15L10,0.0285,2,,,,
17/12/24 11:40,Q17L07,0.0743,2,,,,
17/12/24 11:38,Q17L06,0.1105,4,,,,
17/12/24 13:09,D15L09,0.0277,1,,,,
17/12/24 13:07,D15L07,0.0334,3,,,,
17/12/24 11:37,Q17L05,0.1512,3,,,,
17/12/24 12:19,K18L01,0.0523,19,,,,
17/12/24 13:10,D15L10,0.0285,7,,,,
17/12/24 12:28,K18L08,0.0167,2,,,,
17/12/24 11:33,Q17L02,0.0095,1,,,,
17/12/24 12:30,K18L10,0.0667,7,,,,
17/12/24 12:25,K18L06,0.0195,4,,,,
17/12/24 12:26,K18L07,0.0454,8,,,,
17/12/24 11:42,Q17L09,0.0237,1,,,,
17/12/24 11:34,Q17L03,0.2939,11,,,,
17/12/24 12:29,K18L09,0.0866,7,,,,
17/12/24 12:21,K18L02,0.0057,3,,,,
17/12/24 12:22,K18L03,0.0649,6,,,,
17/12/24 13:23,H15L06,0.0068,6,,,,
17/12/24 13:18,H15L02,0.0055,6,,,,
17/12/24 13:22,H15L05,0.0016,3,,,,
17/12/24 13:17,H15L01,0.0659,5,,,,
17/12/24 13:21,H15L04,0.0177,11,,,,
17/12/24 12:24,K18L05,0.0337,6,,,,
17/12/24 13:20,H15L03,0.0141,10,,,,
17/12/24 12:23,K18L04,0.0176,4,,,,
17/12/24 13:24,H15L07,0.0007,1,,,,
17/12/24 13:26,H15L09,0.0033,3,,,,
17/12/24 19:05,P15L05,0.0808,1,,,,
17/12/24 17:19,H15L02,0.0015,4,,,,
17/12/24 19:04,P15L04,0.0047,3,,,,
17/12/24 19:42,Q17L03,0.0994,5,,,,
17/12/24 19:03,P15L03,0.0012,1,,,,
17/12/24 17:18,H15L01,0.0615,1,,,,
17/12/24 19:08,P15L08,0.0026,1,,,,
17/12/24 19:10,P15L10,0.0701,1,,,,
17/12/24 19:41,Q17L02,0.0197,4,,,,
17/12/24 19:02,P15L02,0.0107,3,,,,
17/12/24 19:51,Q17L10,0.0129,2,,,,
17/12/24 19:07,P15L07,0.0042,1,,,,
17/12/24 19:00,P15L01,0.1263,9,,,,
17/12/24 19:06,P15L06,0.0044,2,,,,
17/12/24 21:50,H15L07,0.0188,2,,,,
17/12/24 19:45,Q17L05,0.2945,5,,,,
17/12/24 19:47,Q17L07,0.0693,1,,,,
17/12/24 19:43,Q17L04,0.0112,3,,,,
17/12/24 21:48,H15L05,0.0038,8,,,,
17/12/24 21:54,H15L10,0.0284,1,,,,
17/12/24 19:39,Q17L01,0.0621,1,,,,
17/12/24 21:52,H15L08,0.0117,2,,,,
17/12/24 16:30,K18L06,0.0054,3,,,,
17/12/24 16:28,K18L05,0.0033,1,,,,
17/12/24 19:48,Q17L08,0.0004,1,,,,
17/12/24 20:45,K18L10,0.0172,6,,,,
17/12/24 19:46,Q17L06,0.0004,1,,,,
17/12/24 16:23,K18L09,0.0045,2,,,,
17/12/24 20:42,K18L08,0.0548,21,,,,
17/12/24 21:20,D15L05,0.0542,1,,,,
17/12/24 17:21,H15L04,0.0032,2,,,,
17/12/24 20:35,K18L03,0.0062,2,,,,
17/12/24 17:28,H15L09,0.0099,4,,,,
17/12/24 19:50,Q17L09,0.0389,3,,,,
17/12/24 17:22,H15L05,0.0216,11,,,,
17/12/24 20:38,K18L06,0.0217,14,,,,
17/12/24 21:14,D15L02,0.0275,2,,,,
17/12/24 17:20,H15L03,0.0087,5,,,,
17/12/24 20:36,K18L04,0.0307,24,,,,
17/12/24 20:40,K18L07,0.0168,14,,,,
17/12/24 16:27,K18L04,0.0028,1,,,,
17/12/24 17:02,H15L06,0.0039,1,,,,
18/12/24 08:02,Q17L10,0.1613,4,,,,
18/12/24 08:55,K18L08,0.1655,32,,,,
18/12/24 07:56,Q17L06,0.0386,3,,,,
18/12/24 08:53,K18L07,0.1114,31,,,,
18/12/24 07:53,Q17L05,0.0714,2,,,,
18/12/24 07:07,P15L05,0.0087,13,,,,
18/12/24 07:53,Q17L04,0.0519,9,,,,
17/12/24 15:38,Q17L04,0.0048,3,,,,
18/12/24 07:10,P15L07,0.3138,3,,,,
18/12/24 07:58,Q17L08,0.0078,1,,,,
17/12/24 15:39,Q17L05,0.0048,1,,,,
17/12/24 17:02,D15L03,0.0413,6,,,,
17/12/24 21:11,D15L01,0.0362,7,,,,
18/12/24 07:06,P15L04,0.0211,24,,,,
17/12/24 15:44,Q17L10,0.0022,1,,,,
17/12/24 15:00,P15L01,0.0799,4,,,,
17/12/24 15:37,Q17L03,0.0007,1,,,,
17/12/24 17:10,D15L10,0.0054,1,,,,
17/12/24 17:04,D15L05,0.0381,6,,,,
17/12/24 16:24,K18L01,0.0522,11,,,,
17/12/24 17:05,D15L06,0.0793,4,,,,
17/12/24 20:37,K18L05,0.0621,8,,,,
17/12/24 15:36,Q17L02,0.0098,2,,,,
17/12/24 16:32,K18L08,0.0105,1,,,,
17/12/24 17:08,D15L08,0.0513,3,,,,
17/12/24 17:09,D15L09,0.0263,2,,,,
17/12/24 17:03,D15L04,0.0292,1,,,,
17/12/24 17:07,D15L07,0.0631,3,,,,
17/12/24 15:35,Q17L01,0.0226,3,,,,
17/12/24 21:23,D15L07,0.0045,1,,,,
17/12/24 21:22,D15L06,0.0187,2,,,,
17/12/24 17:25,H15L07,0.0217,5,,,,
17/12/24 17:26,H15L08,0.0011,1,,,,
17/12/24 20:34,K18L02,0.0228,6,,,,
17/12/24 20:43,K18L09,0.0163,6,,,,
17/12/24 16:59,D15L01,0.0086,6,,,,
17/12/24 20:33,K18L01,0.0659,19,,,,
18/12/24 09:49,D15L01,0.0344,2,,,,
18/12/24 10:20,H15L05,0.0057,7,,,,
18/12/24 10:01,D15L09,0.0628,4,,,,
18/12/24 10:19,H15L04,0.0057,5,,,,
18/12/24 08:43,K18L01,0.1655,10,,,,
18/12/24 10:12,H15L01,0.2871,2,,,,
18/12/24 10:03,D15L10,0.0545,56,,,,
18/12/24 09:57,D15L06,0.0034,5,,,,
18/12/24 08:56,K18L09,0.4287,2,,,,
18/12/24 09:52,D15L03,0.0827,3,,,,
18/12/24 10:00,D15L08,0.0005,1,,,,
18/12/24 07:02,P15L02,0.2618,1,,,,
18/12/24 08:44,K18L02,0.0915,8,,,,
18/12/24 08:48,K18L04,0.7453,16,,,,
18/12/24 10:15,H15L02,0.0214,3,,,,
18/12/24 09:50,D15L02,0.0217,3,,,,
17/12/24 21:28,D15L10,0.0549,4,,,,
18/12/24 09:00,K18L10,0.3402,12,,,,
18/12/24 07:51,Q17L03,0.2753,6,,,,
18/12/24 10:23,H15L07,0.0012,9,,,,
18/12/24 08:49,K18L05,0.2664,1,,,,
18/12/24 07:57,Q17L07,0.0281,2,,,,
18/12/24 07:16,P15L10,0.0182,2,,,,
18/12/24 07:49,Q17L02,0.1169,2,,,,
18/12/24 08:56,K18L03,0.0482,8,,,,
18/12/24 07:14,P15L09,0.0964,4,,,,
18/12/24 08:00,Q17L09,0.0208,2,,,,
18/12/24 08:51,K18L06,0.0542,16,,,,
17/12/24 21:46,H15L04,0.0005,2,,,,
18/12/24 07:09,P15L06,0.0768,15,,,,
18/12/24 07:48,Q17L01,1.9135,1,,,,
18/12/24 07:00,P15L01,2.1821,1,,,,
18/12/24 07:12,P15L08,1.0998,2,,,,
18/12/24 10:17,H15L03,3.7372,2,,,,
17/12/24 21:16,D15L04,1.8565,1,,,,
18/12/24 10:21,H15L06,0.1185,1,,,,
17/12/24 21:26,D15L09,1.7164,2,,,,
18/12/24 07:04,P15L03,2.1536,1,,,,
18/12/24 09:54,D15L04,0.5396,2,,,,
18/12/24 09:59,D15L07,0.7679,7,,,,
18/12/24 10:25,H15L09,1.4352,1,,,,
18/12/24 09:56,D15L05,0,0,,,,
17/12/24 11:09,P15L08,0,0,,,,
17/12/24 11:10,P15L09,0,0,,,,
17/12/24 11:06,P15L05,0,0,,,,
17/12/24 13:02,D15L03,0,0,,,,
17/12/24 13:06,D15L06,0,0,,,,
17/12/24 13:05,D15L05,0,0,,,,
17/12/24 13:25,H15L08,0,0,,,,
17/12/24 11:41,Q17L08,0,0,,,,
18/12/24 10:24,H15L08,0,0,,,,
18/12/24 10:26,H15L10,0,0,,,,
17/12/24 21:49,H15L06,0,0,,,,
17/12/24 21:42,H15L01,0,0,,,,
17/12/24 21:45,H15L03,0,0,,,,
17/12/24 21:44,H15L02,0,0,,,,
17/12/24 19:09,P15L09,0,0,,,,
17/12/24 17:29,H15L10,0,0,,,,
17/12/24 17:00,D15L02,0,0,,,,
17/12/24 21:53,H15L09,0,0,,,,
17/12/24 15:42,Q17L08,0,0,,,,
17/12/24 15:04,P15L03,0,0,,,,
17/12/24 15:07,P15L06,0,0,,,,
17/12/24 15:06,P15L05,0,0,,,,
17/12/24 15:10,P15L09,0,0,,,,
17/12/24 15:05,P15L04,0,0,,,,
17/12/24 15:11,P15L10,0,0,,,,
17/12/24 15:41,Q17L07,0,0,,,,
17/12/24 15:43,Q17L09,0,0,,,,
17/12/24 15:40,Q17L06,0,0,,,,
17/12/24 15:02,P15L02,0,0,,,,
17/12/24 15:08,P15L07,0,0,,,,
17/12/24 16:34,K18L10,0,0,,,,
17/12/24 15:09,P15L08,0,0,,,,
17/12/24 21:15,D15L03,0,0,,,,
17/12/24 21:25,D15L08,0,0,,,,
17/12/24 16:25,K18L02,0,0,,,,
17/12/24 16:31,K18L07,0,0,,,,
17/12/24 16:26,K18L03,0,0,,,,
17/12/24 11:35,Q17L04,0,0,,,,
,,,,,,,
,,,,,, ,
,,,,,,,
,,,,,,,
,,,,,,,
