Timestamp,Ref.,Weight,Number,,,,
24/9/24 21:24,Q17L08,0,0,,,,
24/9/24 16:39,P15L03,0,0,,,,
24/9/24 17:18,Q17L04,0,0,,,,
24/9/24 20:42,P15L10,0,0,,,,
24/9/24 15:40,K18L08,0,0,,,,
24/9/24 22:22,D15L09,0,0,,,,
24/9/24 20:44,P15L08,0,0,,,,
24/9/24 22:27,D15L05,0,0,,,,
24/9/24 21:35,Q17L01,0,0,,,,
24/9/24 20:52,P15L01,0,0,,,,
24/9/24 20:45,P15L07,0,0,,,,
24/9/24 20:47,P15L05,0,0,,,,
24/9/24 17:14,Q17L08,0,0,,,,
24/9/24 15:01,H15L09,0,0,,,,
24/9/24 18:10,D15L05,0,0,,,,
24/9/24 17:15,Q17L07,0,0,,,,
24/9/24 20:46,P15L06,0,0,,,,
24/9/24 18:11,D15L04,0,0,,,,
24/9/24 15:10,H15L01,0,0,,,,
24/9/24 18:06,D15L09,0,0,,,,
24/9/24 15:03,H15L07,0,0,,,,
24/9/24 15:08,H15L03,0,0,,,,
24/9/24 15:06,H15L05,0,0,,,,
24/9/24 15:07,H15L04,0,0,,,,
24/9/24 19:11,H15L02,0,0,,,,
25/9/24 08:36,P15L03,0.0086,1,,,,
25/9/24 08:38,P15L01,0.0044,1,,,,
25/9/24 10:08,D15L08,0.0114,9,,,,
25/9/24 07:08,H15L03,0.0074,1,,,,
25/9/24 09:17,Q17L03,0.0232,2,,,,
25/9/24 07:50,K18L02,0.0456,3,,,,
25/9/24 08:37,P15L02,0.0984,1,,,,
25/9/24 07:01,H15L08,0.0606,6,,,,
25/9/24 07:06,H15L04,0.0423,1,,,,
25/9/24 07:47,K18L04,0.0551,3,,,,
25/9/24 07:10,H15L01,0.0096,1,,,,
25/9/24 08:30,P15L08,0.0095,1,,,,
25/9/24 07:38,K18L10,0.1046,3,,,,
25/9/24 07:43,K18L07,0.0158,4,,,,
25/9/24 07:44,K18L06,0.071,2,,,,
25/9/24 07:46,K18L05,0.0123,1,,,,
25/9/24 10:10,D15L06,0.0541,1,,,,
25/9/24 08:27,P15L10,0.0367,2,,,,
25/9/24 07:51,K18L01,0.0207,1,,,,
25/9/24 10:16,D15L01,0.0067,2,,,,
25/9/24 10:06,D15L10,0,0,,,,
25/9/24 07:02,H15L07,0.0079,1,,,,
25/9/24 10:09,D15L07,0.0012,1,,,,
25/9/24 07:41,K18L08,0.0405,1,,,,
25/9/24 09:15,Q17L05,0,0,,,,
25/9/24 10:07,D15L09,0,0,,,,
25/9/24 08:33,P15L06,0,0,,,,
25/9/24 09:20,Q17L01,0,0,,,,
