Timestamp,Ref.,Weight,Number
20/9/23 11:00,O18L01,0.0239,3
20/9/23 11:01,O18L02,0.0045,3
20/9/23 11:02,O18L03,0.0046,3
20/9/23 11:03,O18L04,0.0351,1
20/9/23 11:04,O18L05,0,0
20/9/23 11:05,O18L06,0.0018,2
20/9/23 11:06,O18L07,0.0199,1
20/9/23 11:07,O18L08,0.0067,1
20/9/23 11:09,O18L09,0,0
20/9/23 11:11,O18L10,0.0396,1
20/9/23 11:31,L17L01,0,0
20/9/23 11:32,L17L02,0,0
20/9/23 11:33,L17L03,0,0
20/9/23 11:34,L17L04,0,0
20/9/23 11:35,L17L05,0.0241,3
20/9/23 11:36,L17L06,0.0156,1
20/9/23 11:37,L17L07,0,0
20/9/23 11:38,L17L08,0,0
20/9/23 11:39,L17L09,0,0
20/9/23 11:40,L17L10,0.0734,1
20/9/23 11:59,L15L01,0.0046,1
20/9/23 12:00,L15L08,0.0075,2
20/9/23 12:01,L15L03,0,0
20/9/23 12:01,J13L06,0.0252,3
20/9/23 12:02,L15L04,0.0021,1
20/9/23 12:03,L15L05,0,0
20/9/23 12:05,L15L06,0,0
20/9/23 12:06,L15L07,0.0063,1
20/9/23 12:08,L15L08,0.0247,1
20/9/23 12:09,L15L09,0,0
20/9/23 12:10,L15L10,0,0
20/9/23 12:36,J13L01,0.0079,1
20/9/23 12:37,J13L02,0,0
20/9/23 12:38,J13L03,0.0122,5
20/9/23 12:39,J13L04,0.0184,1
20/9/23 12:40,J13L03,0.0214,2
20/9/23 12:42,J13L07,0.0332,8
20/9/23 12:43,J13L08,0.0199,1
20/9/23 12:44,J13L09,0,0
20/9/23 12:45,J13L10,0.0039,1
20/9/23 13:00,J13L01,0.0752,3
20/9/23 13:01,J15L02,0.0508,3
20/9/23 13:02,J15L03,0,0
20/9/23 13:03,J15L04,0,0
20/9/23 13:04,J15L05,0.0779,13
20/9/23 13:06,J15L06,0.0358,7
20/9/23 13:07,J15L07,0.0057,2
20/9/23 13:08,J15L08,0,0
20/9/23 13:09,J15L09,0,0
20/9/23 13:10,J15L10,0,0
20/9/23 15:00,O18L01,0.0057,2
20/9/23 15:01,O18L02,0,0
20/9/23 15:02,O18L03,0.017,3
20/9/23 15:03,O18L04,0,0
20/9/23 15:04,O18L05,0,0
20/9/23 15:05,O18L06,0,0
20/9/23 15:06,O18L07,0.0118,2
20/9/23 15:07,O18L08,0.018,1
20/9/23 15:08,O18L09,0.0076,2
20/9/23 15:10,O18L10,0.0039,1
20/9/23 15:32,L17L01,0,0
20/9/23 15:33,L17L02,0.0171,1
20/9/23 15:34,L17L03,0,0
20/9/23 15:35,L17L04,0.0052,1
20/9/23 15:36,L17L05,0.0029,1
20/9/23 15:37,L17L06,0.0132,5
20/9/23 15:38,L17L07,0.0028,1
20/9/23 15:39,L17L08,0.0027,2
20/9/23 15:40,L17L09,0.0031,1
20/9/23 15:41,L17L10,0.0722,5
20/9/23 16:00,L15L01,0.0239,3
20/9/23 16:01,L15L02,0.0012,3
20/9/23 16:02,L15L03,0.0034,1
20/9/23 16:03,L15L04,0,0
20/9/23 16:04,L15L05,0.1782,5
20/9/23 16:05,L15L06,0.0025,3
20/9/23 16:06,L15L07,0.002,3
20/9/23 16:08,L15L08,0.0038,3
20/9/23 16:09,L15L09,0,0
20/9/23 16:10,L15L10,0,0
20/9/23 16:36,J13L01,0,0
20/9/23 16:37,J13L02,0,0
20/9/23 16:38,J13L03,0.0009,2
20/9/23 16:39,J13L04,0,0
20/9/23 16:40,J13L05,0.1002,16
20/9/23 16:42,J13L06,0.0045,2
20/9/23 16:43,J13L07,0.0641,4
20/9/23 16:44,J13L08,0,0
20/9/23 16:45,J13L09,0,0
20/9/23 16:46,J13L10,0,0
20/9/23 17:02,J15L01,0,0
20/9/23 17:03,J15L02,0.0058,2
20/9/23 17:04,J15L03,0,0
20/9/23 17:05,J15L04,0.0039,1
20/9/23 17:06,J15L05,0.0152,5
20/9/23 17:07,J15L06,0.0333,4
20/9/23 17:08,J15L07,0.003,2
20/9/23 17:09,J15L08,0.001,1
20/9/23 17:10,J13L09,0,0
20/9/23 17:11,J15L10,0,0
20/9/23 19:00,O18L01,0.0217,7
20/9/23 19:01,O18L02,0.007,2
20/9/23 19:02,O18L03,0,0
20/9/23 19:03,O18L04,0,0
20/9/23 19:04,O18L05,0.0095,1
20/9/23 19:05,O18L06,0.008,1
20/9/23 19:06,O18L07,0.0061,1
20/9/23 19:07,O18L08,0.0109,1
20/9/23 19:09,O18L09,0.0318,2
20/9/23 19:10,O18L10,0,0
20/9/23 19:30,L17L08,0.0333,2
20/9/23 19:33,L17L01,0.0049,1
20/9/23 19:34,L17L02,0,0
20/9/23 19:35,L17L03,0.0013,2
20/9/23 19:36,L17L04,0.0042,2
20/9/23 19:37,L17L05,0.001,2
20/9/23 19:38,L17L06,0.0073,3
20/9/23 19:39,L17L07,0.0219,3
20/9/23 19:41,L17L09,0.0098,3
20/9/23 19:42,L17L10,0.0435,6
20/9/23 20:00,L15L01,0,0
20/9/23 20:01,L15L02,0,0
20/9/23 20:02,L15L03,0,0
20/9/23 20:03,L15L04,0.0704,3
20/9/23 20:04,L15L05,0.0007,1
20/9/23 20:05,L15L06,0.018,3
20/9/23 20:06,L15L07,0,0
20/9/23 20:08,L15L08,0,0
20/9/23 20:09,L15L09,0,0
20/9/23 20:10,L15L10,0.0012,3
20/9/23 20:40,J13L01,0.0009,1
20/9/23 20:41,J13L02,0.047,2
20/9/23 20:42,J13L03,0,0
20/9/23 20:43,J13L04,0,0
20/9/23 20:44,J13L05,0.0172,2
20/9/23 20:45,J13L06,0,0
20/9/23 20:46,J13L07,0,0
20/9/23 20:48,J13L08,0.0015,1
20/9/23 20:49,J13L09,0,0
20/9/23 20:50,J13L10,0,0
20/9/23 21:06,J15L01,0,0
20/9/23 21:07,J15L02,0,0
20/9/23 21:08,J15L03,0,0
20/9/23 21:09,J15L04,0.0313,1
20/9/23 21:10,L15L05,0,0
20/9/23 21:11,J15L06,0.0155,1
20/9/23 21:12,J15L07,0,0
20/9/23 21:13,J15L08,0,0
20/9/23 21:14,J15L09,0,0
20/9/23 21:15,J15L10,0,0
21/9/23 00:00,O18L10,0.1844,2
21/9/23 07:00,O18L01,0.0555,1
21/9/23 07:00,O18L01,0.0366,1
21/9/23 07:01,O18L02,0,0
21/9/23 07:01,O18L02,0,0
21/9/23 07:02,O18L03,0.0568,1
21/9/23 07:02,O18L03,0.1267,2
21/9/23 07:03,O18L04,0.0004,1
21/9/23 07:03,O18L04,0.0285,1
21/9/23 07:04,O18L05,0,0
21/9/23 07:05,O18L06,0.023,2
21/9/23 07:05,O18L05,0,0
21/9/23 07:06,O18L07,0.0369,2
21/9/23 07:06,O18L06,0,0
21/9/23 07:08,O18L08,0.0156,1
21/9/23 07:08,O18L07,0.0557,2
21/9/23 07:09,O18L08,0.0213,1
21/9/23 07:10,O18L09,0,0
21/9/23 07:10,O18L09,0,0
21/9/23 07:11,O18L10,0.0814,4
21/9/23 07:33,L17L01,0,0
21/9/23 07:34,L17L02,0.024,1
21/9/23 07:35,L17L03,0.0404,2
21/9/23 07:36,L17L01,0,0
21/9/23 07:37,L17L04,0,0
21/9/23 07:38,L17L02,0,0
