Timestamp,Ref.,Weight,Number,,,,,,,,,
3/1/24 19:02,J13L06,0.0578,6,,,,,,,,,
3/1/24 19:06,J13L08,0.0191,7,,,,,,,,,
3/1/24 19:08,J13L09,0.0105,7,,,,,,,,,
3/1/24 19:09,J13L10,0.0187,3,,,,,,,,,
3/1/24 19:12,J13L04,0.0045,1,,,,,,,,,
3/1/24 19:15,J13L03,0.0772,1,,,,,,,,,
3/1/24 19:16,J13L02,0.0167,1,,,,,,,,,
3/1/24 19:17,J13L01,0.1339,1,,,,,,,,,
3/1/24 19:19,J13L07,0.0018,2,,,,,,,,,
3/1/24 19:39,L15L05,0.0137,3,,,,,,,,,
3/1/24 19:41,L15L06,0.2252,3,,,,,,,,,
3/1/24 19:42,L15L07,0.0113,7,,,,,,,,,
3/1/24 19:46,L15L08,0.0358,7,,,,,,,,,
3/1/24 19:48,L15L09,0.0131,10,,,,,,,,,
3/1/24 19:50,L15L10,0.2102,5,,,,,,,,,
3/1/24 19:55,L15L04,0.0000,0,,,,,,,,,
3/1/24 19:57,L15L03,0.0201,8,,,,,,,,,
3/1/24 19:59,L15L02,0.0041,5,,,,,,,,,
3/1/24 20:00,L15L01,2.0616,2,,,,,,,,,
3/1/24 20:30,O18L05,6.5974,3,,,,,,,,,
3/1/24 20:32,O18L06,0.0441,2,,,,,,,,,
3/1/24 20:34,O18L07,4.5083,3,,,,,,,,,
3/1/24 20:36,O18L08,0.0000,0,,,,,,,,,
3/1/24 20:40,O18L09,0.0000,0,,,,,,,,,
3/1/24 20:42,O18L10,-1.0000,-1,,,,,,,,,
3/1/24 20:50,O18L04,4.4795,2,,,,,,,,,
3/1/24 20:52,O18L03,0.0092,3,,,,,,,,,
3/1/24 20:54,O18L02,0.9525,2,,,,,,,,,
3/1/24 20:56,O18L01,0.0000,0,,,,,,,,,
3/1/24 21:36,L17L06,0.0124,1,,,,,,,,,
3/1/24 21:36,L17L05,0.2467,1,,,,,,,,,
3/1/24 21:40,L17L07,0.0065,3,,,,,,,,,
3/1/24 21:43,L17L08,0.1002,2,,,,,,,,,
3/1/24 21:45,L17L09,1.8680,2,,,,,,,,,
3/1/24 21:47,L17L10,0.0000,0,,,,,,,,,
3/1/24 21:58,L17L04,4.6504,1,,,,,,,,,
3/1/24 21:59,L17L03,0.1027,4,,,,,,,,,
3/1/24 22:02,L17L01,1.8083,5,,,,,,,,,
3/1/24 22:02,L17L02,0.0247,1,,,,,,,,,
3/1/24 22:30,J15L05,0.0454,5,,,,,,,,,
3/1/24 22:33,J15L06,0.0091,1,,,,,,,,,
3/1/24 22:34,J15L07,0.0053,7,,,,,,,,,
3/1/24 22:36,J15L08,0.3658,1,,,,,,,,,
3/1/24 22:38,J15L09,0.0000,0,,,,,,,,,
3/1/24 22:39,J15L10,0.2737,1,,,,,,,,,
3/1/24 22:45,J15L04,0.0000,0,,,,,,,,,
3/1/24 22:47,J15L03,1.7253,1,,,,,,,,,
3/1/24 22:49,J15L01,12.7020,52,,,,,,,,,
3/1/24 22:49,J15L02,0.0646,22,,,,,,,,,
4/1/24 08:01,J13L05,1.8962,7,,,,,,,,,
4/1/24 08:03,J13L06,3.6661,13,,,,,,,,,
4/1/24 08:04,J13L07,2.4964,5,,,,,,,,,
4/1/24 08:05,J13L08,0.4287,3,,,,,,,,,
4/1/24 08:06,J13L09,12.7969,6,,,,,,,,,
4/1/24 08:07,J13L10,6.4620,5,,,,,,,,,
4/1/24 08:11,J13L04,4.1090,5,,,,,,,,,
4/1/24 08:13,J13L03,0.0000,0,,,,,,,,,
4/1/24 08:15,J13L02,0.0555,2,,,,,,,,,
4/1/24 08:16,J13L01,0.0753,7,,,,,,,,,
4/1/24 08:30,O18L05,5.8507,2,,,,,,,,,
4/1/24 08:32,O18L07,3.0807,6,,,,,,,,,
4/1/24 08:34,O18L08,8.4891,5,,,,,,,,,
4/1/24 08:35,O18L09,35.0061,13,,,,,,,,,
4/1/24 08:41,L15L04,8.2441,6,,,,,,,,,
4/1/24 08:42,L15L05,23.0941,5,,,,,,,,,
4/1/24 08:44,O18L01,0.6553,6,,,,,,,,,
4/1/24 08:44,L15L06,0.0000,0,,,,,,,,,
4/1/24 08:45,L15L07,0.1685,3,,,,,,,,,
4/1/24 08:47,L15L08,0.0569,8,,,,,,,,,
4/1/24 08:48,L15L09,0.1854,3,,,,,,,,,
4/1/24 08:50,L15L10,5.9530,13,,,,,,,,,
4/1/24 08:54,L15L03,7.9515,10,,,,,,,,,
4/1/24 08:55,L15L02,5.4268,10,,,,,,,,,
4/1/24 08:57,L15L01,0.0000,0,,,,,,,,,
4/1/24 09:28,O18L04,0.0000,0,,,,,,,,,
4/1/24 09:31,O18L06,0.0647,4,,,,,,,,,
4/1/24 09:37,O18L10,0.0000,0,,,,,,,,,
4/1/24 09:41,O18L03,0.0526,10,,,,,,,,,
4/1/24 09:42,O18L02,0.0600,9,,,,,,,,,
4/1/24 10:03,L17L04,0.0016,5,,,,,,,,,
4/1/24 10:05,L17L05,0.1410,6,,,,,,,,,
4/1/24 10:06,L17L06,0.0107,6,,,,,,,,,
4/1/24 10:07,L17L07,0.0000,0,,,,,,,,,
4/1/24 10:09,L17L08,3.8718,5,,,,,,,,,
4/1/24 10:11,L17L09,0.0217,2,,,,,,,,,
4/1/24 10:12,L17L10,0.0000,0,,,,,,,,,
4/1/24 10:16,L17L03,5.5920,7,,,,,,,,,
4/1/24 10:17,L17L02,0.0169,6,,11:43,,,,,,,
4/1/24 10:18,L17L01,12.6820,8,,,,,,,,,
4/1/24 10:37,J15L04,0.2420,2,,,,,,,,,
4/1/24 10:39,J15L05,0.0619,7,,,,,,,,,
4/1/24 10:41,J15L06,0.0286,3,,,,,,,,,
4/1/24 10:42,J15L07,0.1070,10,,,,,,,,,
4/1/24 10:44,J15L08,0.0437,2,,,,,,,,,
4/1/24 10:45,J15L09,0.2535,2,,,,,,,,,
4/1/24 10:47,J15L10,0.0323,1,,,,,,,,,
4/1/24 10:50,J15L03,0.0403,28,,,,,,,,,
4/1/24 10:52,J15L02,0.0300,10,,,,,,,,,
4/1/24 10:53,J15L01,17.3362,12,,,,,,,,,
