Timestamp,Ref.,Weight,Number,,,,,,,,
27/11/24 09:42,D15L01,0.0047,1,,,,,,,,
27/11/24 09:34,D15L07,0.0758,2,,,,,,,,
27/11/24 09:30,D15L10,0.0351,1,,,,,,,,
27/11/24 09:31,D15L09,0.0083,1,,,,,,,,
27/11/24 09:38,D15L04,0.0049,1,,,,,,,,
26/11/24 21:53,D15L01,0.0041,2,,,,,,,,
26/11/24 13:37,D15L01,0.0298,10,,,,,,,,
26/11/24 21:48,D15L04,0.0004,2,,,,,,,,
26/11/24 13:35,D15L03,0.0108,2,,,,,,,,
26/11/24 21:40,D15L10,0.0282,5,,,,,,,,
26/11/24 13:30,D15L07,0.0382,1,,,,,,,,
26/11/24 21:43,D15L08,0.0087,2,,,,,,,,
26/11/24 21:44,D15L07,0.0123,3,,,,,,,,
26/11/24 21:50,D15L03,0.0322,18,,,,,,,,
26/11/24 21:47,D15L05,0.0097,2,,,,,,,,
26/11/24 21:41,D15L09,0.0068,2,,,,,,,,
27/11/24 07:55,Q17L09,0,0,,,,,,,,
26/11/24 22:05,H15L08,0,0,,,,,,,,
27/11/24 09:36,D15L05,0,0,,,,,,,,
27/11/24 10:01,H15L03,0,0,,,,,,,,
26/11/24 20:02,Q17L08,0,0,,,,,,,,
26/11/24 20:43,P15L09,0,0,,,,,,,,
26/11/24 20:00,Q17L09,0,0,,,,,,,,
26/11/24 19:59,Q17L10,0,0,,,,,,,,
26/11/24 21:46,D15L06,0,0,,,,,,,,
26/11/24 20:52,P15L02,0,0,,,,,,,,
27/11/24 08:47,P15L02,0,0,,,,,,,,
27/11/24 08:46,P15L03,0,0,,,,,,,,
27/11/24 09:57,H15L06,0,0,,,,,,,,
26/11/24 11:53,Q17L10,0,0,,,,,,,,
26/11/24 12:42,P15L01,0,0,,,,,,,,
26/11/24 12:35,P15L07,0,0,,,,,,,,
26/11/24 13:27,D15L09,0,0,,,,,,,,
26/11/24 13:26,D15L10,0,0,,,,,,,,
26/11/24 13:53,H15L03,0,0,,,,,,,,
26/11/24 13:48,H15L07,0,0,,,,,,,,
26/11/24 13:31,D15L06,0,0,,,,,,,,
26/11/24 13:44,H15L10,0,0,,,,,,,,
26/11/24 11:56,Q17L08,0,0,,,,,,,,
26/11/24 13:36,D15L02,0,0,,,,,,,,
26/11/24 13:34,D15L04,0,0,,,,,,,,
26/11/24 13:32,D15L05,0,0,,,,,,,,
26/11/24 11:57,Q17L07,0,0,,,,,,,,
26/11/24 11:55,Q17L09,0,0,,,,,,,,
27/11/24 07:56,Q17L08,0,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
