Timestamp,Ref.,Weight,Number
25/2/25 12:43,L17L01,0,0
25/2/25 12:37,L17L06,0.0439,12
25/2/25 12:34,L17L08,0.00108,5
25/2/25 12:38,L17L05,0.0577,28
25/2/25 12:36,L17L07,1.2343,17
25/2/25 12:39,L17L04,0.1061,19
25/2/25 12:33,L17L09,0.0044,2
25/2/25 12:32,L17L10,0.0211,11
25/2/25 12:40,L17L03,0.0263,44
25/2/25 12:41,L17L02,0.2668,12
25/2/25 14:17,J13L02,0.0121,5
25/2/25 14:19,J13L01,0.0039,3
25/2/25 14:11,J13L05,0.0769,10
25/2/25 14:14,J13L04,0.0066,4
25/2/25 14:05,J13L08,0.029,8
25/2/25 14:10,J13L06,0.0201,5
25/2/25 14:08,J13L07,0.0818,12
25/2/25 14:15,J13L03,0.1356,14
25/2/25 14:02,J13L10,0.0151,6
25/2/25 14:03,J13L09,0.0012,1
25/2/25 11:58,O18L05,0.0296,11
25/2/25 11:57,O18L06,0.0152,2
25/2/25 11:59,O18L04,0.0333,5
25/2/25 11:55,O18L07,1.5303,15
25/2/25 12:02,O18L01,0.0161,3
25/2/25 11:10,L15L04,0.0103,6
25/2/25 11:11,L15L03,0,0
25/2/25 11:54,O18L08,0.2283,3
25/2/25 11:53,O18L09,0.0412,4
25/2/25 11:06,L15L07,0.0351,6
25/2/25 12:01,O18L02,0.0392,18
25/2/25 11:13,L15L02,0.0038,4
25/2/25 11:00,L15L10,0.0312,1
25/2/25 11:04,L15L08,0.2118,18
25/2/25 11:15,L15L01,0.0066,12
25/2/25 11:08,L15L05,0.0052,1
25/2/25 12:00,O18L03,0.0375,11
25/2/25 11:51,O18L10,0.0055,5
25/2/25 11:07,L15L06,0.0068,8
25/2/25 11:02,L15L09,0.0965,2
25/2/25 13:16,J15L01,0.0044,3
25/2/25 13:15,J15L02,0.0212,30
25/2/25 13:13,J15L05,0.0101,5
25/2/25 13:14,J15L03,0.0077,4
26/2/25 07:49,O18L06,41.5337,10
26/2/25 07:55,O18L01,23.8079,4
26/2/25 08:25,L17L07,0.2231,1
26/2/25 07:47,O18L08,3.0109,18
26/2/25 08:28,L17L04,0.8415,1
26/2/25 09:22,J13L09,44.7271,2
26/2/25 09:28,J13L03,1.8436,4
26/2/25 09:04,J15L01,0.0411,26
26/2/25 08:22,L17L10,0.0022,2
26/2/25 08:57,J15L08,0.3275,1
26/2/25 09:02,J15L03,0.1115,77
26/2/25 07:12,L15L03,0.0542,11
26/2/25 09:21,J13L10,0.1105,3
25/2/25 13:11,J15L06,0.0015,1
25/2/25 13:07,J15L10,0.0099,3
25/2/25 13:10,J15L07,0,0
25/2/25 13:09,J15L08,0.0131,1
25/2/25 16:16,L17L07,0,0
25/2/25 13:13,J15L04,0.0456,54
25/2/25 16:48,J15L06,0.0401,3
25/2/25 17:17,J13L01,0.0093,4
25/2/25 17:14,J13L04,0.0073,8
25/2/25 17:09,J13L10,0.0019,1
25/2/25 16:49,J15L05,0.0162,4
26/2/25 07:07,L15L06,0.0035,2
26/2/25 09:25,J13L06,0.0287,3
26/2/25 07:05,L15L07,0.0779,4
26/2/25 09:00,J15L05,0.0441,2
26/2/25 09:27,J13L04,0.0147,8
26/2/25 07:04,L15L08,0.0148,9
26/2/25 08:55,J15L10,0.0327,1
26/2/25 07:00,L15L10,0.1345,5
26/2/25 09:23,J13L08,0.0472,3
26/2/25 09:30,J13L02,0,0
26/2/25 09:31,J13L01,0.0091,7
26/2/25 07:09,L15L05,0.0036,2
26/2/25 08:56,J15L09,0.0012,1
26/2/25 09:26,J13L05,0.0121,13
26/2/25 07:02,L15L09,0.0012,1
26/2/25 07:14,L15L02,0.0325,15
26/2/25 09:24,J13L07,0.0456,6
26/2/25 08:58,J15L07,0.0441,1
26/2/25 08:26,L17L06,0.0895,9
26/2/25 09:03,J15L02,0.0136,12
26/2/25 07:10,L15L04,0.0261,2
26/2/25 07:52,O18L04,0.4012,4
26/2/25 07:15,L15L01,0.0027,2
26/2/25 07:45,O18L10,0.0489,15
26/2/25 07:53,O18L03,0.0041,5
26/2/25 07:54,O18L02,0.0124,4
26/2/25 07:46,O18L09,0.3128,4
26/2/25 07:50,O18L05,0.0042,4
26/2/25 08:30,L17L02,0.1311,4
26/2/25 07:48,O18L07,0.135,9
26/2/25 08:59,J15L06,0,0
26/2/25 08:27,L17L05,0.0128,5
26/2/25 08:29,L17L03,0.1729,23
26/2/25 08:23,L17L09,0.0815,15
26/2/25 08:25,L17L08,0.3959,2
26/2/25 08:31,L17L01,0.0737,15
26/2/25 09:01,J15L04,0.0129,15
25/2/25 17:16,J13L02,0.0014,2
25/2/25 16:50,J15L04,0.01941,7
