Timestamp,Ref.,Weight,Number,,,,,,,,
16/4/24 22:09,J13L10,0.035,6,,,,,,,,
16/4/24 13:53,J13L02,0.0042,3,,,,,,,,
16/4/24 13:55,J13L01,0.0134,6,,,,,,,,
16/4/24 13:51,J13L04,0.0535,3,,,,,,,,
16/4/24 13:45,J13L08,0.0034,6,,,,,,,,
16/4/24 22:18,J13L06,0.1303,1,,,,,,,,
16/4/24 22:14,J13L08,0.0051,1,,,,,,,,
16/4/24 22:24,J13L03,0.0374,1,,,,,,,,
16/4/24 22:20,J13L05,0.0013,5,,,,,,,,
16/4/24 13:52,J13L03,0.0339,2,,,,,,,,
16/4/24 17:52,J13L01,0.0056,9,,,,,,,,
16/4/24 22:16,J13L07,2.3899,2,,,,,,,,
16/4/24 22:22,J13L04,0.0033,5,,,,,,,,
16/4/24 22:28,J13L01,0.061,7,,,,,,,,
16/4/24 17:41,J13L10,0.0004,5,,,,,,,,
16/4/24 17:45,J13L07,0.0106,12,,,,,,,,
16/4/24 13:44,J13L09,0.8859,1,,,,,,,,
16/4/24 17:44,J13L08,0.0045,1,,,,,,,,
16/4/24 13:49,J13L05,0.0224,7,,,,,,,,
16/4/24 17:48,J13L05,0.042,5,,,,,,,,
16/4/24 13:48,J13L06,0.0176,3,,,,,,,,
16/4/24 13:42,J13L10,0.0011,1,,,,,,,,
17/4/24 10:20,J13L01,0.0848,13,,,,,,,,
16/4/24 17:50,J13L03,0.0286,3,,,,,,,,
17/4/24 10:18,J13L02,0.024,6,,,,,,,,
17/4/24 10:06,J13L10,0.0198,4,,,,,,,,
16/4/24 17:51,J13L02,0.0134,7,,,,,,,,
17/4/24 10:15,J13L04,0.0206,3,,,,,,,,
16/4/24 13:46,J13L07,0.0399,5,,,,,,,,
16/4/24 17:43,J13L09,0.0026,1,,,,,,,,
16/4/24 17:47,J13L06,0.0426,4,,,,,,,,
16/4/24 17:49,J13L04,0.0036,3,,,,,,,,
17/4/24 10:10,J13L07,0.0168,50,,,,,,,,
17/4/24 10:17,J13L03,0.0035,1,,,,,,,,
17/4/24 10:11,J13L06,0.0001,3,,,,,,,,
17/4/24 08:44,O18L05,8.7355,4,,,,,,,,
17/4/24 10:13,J13L05,1.0707,1,,,,,,,,
17/4/24 10:07,J13L09,1.0874,2,,,,,,,,
16/4/24 22:26,J13L02,0.0003,5,,,,,,,,
16/4/24 11:46,J15L03,0.1022,11,,,,,,,,
17/4/24 07:43,J15L10,0.1857,1,,,,,,,,
17/4/24 07:56,J15L03,0.0243,1,,,,,,,,
16/4/24 15:37,J15L03,0.0298,2,,,,,,,,
17/4/24 07:48,J15L07,0.0561,15,,,,,,,,
16/4/24 19:50,J15L06,0.0036,1,,,,,,,,
16/4/24 11:45,J15L04,0.0036,2,,,,,,,,
16/4/24 15:35,J15L05,0.0136,3,,,,,,,,
17/4/24 07:52,J15L05,0.0678,2,,,,,,,,
17/4/24 07:47,J15L08,0.0663,2,,,,,,,,
16/4/24 15:36,J15L04,0.0013,1,,,,,,,,
16/4/24 15:34,J15L06,0.0199,2,,,,,,,,
17/4/24 07:59,J15L01,0.0815,18,,,,,,,,
16/4/24 11:50,J15L01,0.006,3,,,,,,,,
16/4/24 19:57,J15L02,0.7727,101,,,,,,,,
16/4/24 20:00,J15L01,1.7266,196,,,,,,,,
16/4/24 19:56,J15L03,0.5184,17,,,,,,,,
16/4/24 19:48,J15L07,0.4498,9,,,,,,,,
16/4/24 15:30,J15L10,0.0034,2,,,,,,,,
16/4/24 15:39,J15L01,0.0096,5,,,,,,,,
16/4/24 11:42,J15L06,0.0574,3,,,,,,,,
17/4/24 07:45,J15L09,0.043,1,,,,,,,,
16/4/24 15:33,J15L07,0.011,4,,,,,,,,
16/4/24 19:52,J15L05,0.0845,3,,,,,,,,
17/4/24 07:54,J15L04,0.0948,3,,,,,,,,
16/4/24 11:39,J15L08,0.0189,1,,,,,,,,
17/4/24 07:58,J15L02,0.0297,9,,,,,,,,
16/4/24 15:38,J15L02,0.0247,1,,,,,,,,
16/4/24 19:54,J15L04,0.0371,19,,,,,,,,
16/4/24 11:48,J15L02,0.0027,2,,,,,,,,
16/4/24 11:41,J15L07,0.0183,20,,,,,,,,
16/4/24 19:46,J15L08,0.0097,1,,,,,,,,
16/4/24 20:39,O18L10,0.0028,4,,,,,,,,
17/4/24 07:56,J15L06,0.4544,11,,,,,,,,
17/4/24 07:00,L17L10,0.6882,18,,,,,,,,
17/4/24 07:02,L17L09,0.0793,14,,,,,,,,
16/4/24 19:07,L17L06,0.0156,20,,,,,,,,
16/4/24 11:12,L17L01,0.0021,4,,,,,,,,
16/4/24 11:10,L17L02,0.038,25,,,,,,,,
16/4/24 19:04,L17L08,0.0009,3,,,,,,,,
16/4/24 11:05,L17L06,0.0244,37,,,,,,,,
17/4/24 07:15,L17L02,0.3977,20,,,,,,,,
16/4/24 15:01,L17L09,0.0066,1,,,,,,,,
16/4/24 11:01,L17L09,0.0106,6,,,,,,,,
16/4/24 11:03,L17L07,0.0118,15,,,,,,,,
16/4/24 11:08,L17L04,0.0121,13,,,,,,,,
16/4/24 11:09,L17L03,0.0233,24,,,,,,,,
16/4/24 15:00,L17L10,0.013,7,,,,,,,,
17/4/24 07:16,L17L01,0.3951,10,,,,,,,,
16/4/24 11:06,L17L05,0.0042,5,,,,,,,,
16/4/24 15:04,L17L06,0.0197,20,,,,,,,,
17/4/24 07:05,L17L08,0.5177,12,,,,,,,,
16/4/24 15:07,L17L03,0.0114,9,,,,,,,,
