Timestamp,Ref.,Weight,Number,,,,,,
14/8/24 07:29,D15L02,0,0,,,,,,
14/8/24 07:06,H15L06,0,0,,,,,,
14/8/24 07:00,H15L10,0,0,,,,,,
14/8/24 09:25,P15L03,0,0,,,,,,
14/8/24 09:26,P15L02,0,0,,,,,,
14/8/24 07:24,D15L06,0,0,,,,,,
14/8/24 07:23,D15L07,0,0,,,,,,
13/8/24 15:26,D15L03,0,0,,,,,,
13/8/24 17:34,Q17L08,0,0,,,,,,
13/8/24 16:11,K18L05,0,0,,,,,,
13/8/24 15:07,H15L04,0,0,,,,,,
13/8/24 16:13,K18L03,0,0,,,,,,
13/8/24 15:06,H15L05,0,0,,,,,,
13/8/24 15:05,H15L06,0,0,,,,,,
13/8/24 15:00,H15L10,0,0,,,,,,
13/8/24 16:12,K18L04,0,0,,,,,,
13/8/24 16:00,K18L10,0,0,,,,,,
13/8/24 17:32,Q17L10,0,0,,,,,,
13/8/24 15:19,D15L08,0,0,,,,,,
13/8/24 17:06,P15L01,0,0,,,,,,
13/8/24 16:56,P15L10,0,0,,,,,,
13/8/24 16:57,P15L09,0,0,,,,,,
13/8/24 16:59,P15L07,0,0,,,,,,
13/8/24 17:42,Q17L01,0,0,,,,,,
13/8/24 17:41,Q17L02,0,0,,,,,,
13/8/24 17:38,Q17L05,0,0,,,,,,
13/8/24 13:50,Q17L06,0,0,,,,,,
13/8/24 19:26,D15L04,0,0,,,,,,
13/8/24 19:30,D15L01,0,0,,,,,,
13/8/24 19:19,D15L09,0,0,,,,,,
13/8/24 19:25,D15L05,0,0,,,,,,
13/8/24 11:24,D15L06,0,0,,,,,,
13/8/24 21:42,Q17L10,0,0,,,,,,
13/8/24 21:53,Q17L01,0,0,,,,,,
13/8/24 21:11,P15L01,0,0,,,,,,
13/8/24 20:06,K18L09,0,0,,,,,,
13/8/24 21:09,P15L03,0,0,,,,,,
13/8/24 13:52,Q17L04,0,0,,,,,,
13/8/24 13:55,Q17L02,0,0,,,,,,
13/8/24 11:08,H15L04,0,0,,,,,,
13/8/24 11:30,D15L01,0,0,,,,,,
13/8/24 11:05,H15L06,0,0,,,,,,
13/8/24 11:00,H15L10,0,0,,,,,,
13/8/24 11:12,H15L01,0,0,,,,,,
13/8/24 11:04,H15L07,0,0,,,,,,
13/8/24 13:17,P15L05,0,0,,,,,,
13/8/24 12:21,K18L04,0,0,,,,,,
13/8/24 12:20,K18L05,0,0,,,,,,
13/8/24 13:19,P15L03,0,0,,,,,,
13/8/24 13:20,P15L02,0,0,,,,,,
13/8/24 13:54,Q17L03,0,0,,,,,,
13/8/24 12:14,K18L10,0,0,,,,,,
13/8/24 19:23,D15L06,0,0,,,,,,
13/8/24 21:10,P15L02,0,0,,,,,,
13/8/24 11:11,H15L02,0,0,,,,,,
13/8/24 20:59,P15L09,0,0,,,,,,
13/8/24 21:02,P15L07,0,0,,,,,,
13/8/24 21:07,P15L04,0,0,,,,,,
13/8/24 20:05,K18L10,0,0,,,,,,
13/8/24 19:01,H15L09,0,0,,,,,,
13/8/24 21:51,Q17L03,0,0,,,,,,
13/8/24 19:06,H15L05,0,0,,,,,,
13/8/24 21:46,Q17L07,0,0,,,,,,
13/8/24 19:08,H15L04,0,0,,,,,,
13/8/24 19:00,H15L10,0,0,,,,,,
13/8/24 21:01,P15L08,0,0,,,,,,
13/8/24 11:28,D15L03,0,0,,,,,,
13/8/24 11:25,D15L05,0,0,,,,,,
13/8/24 11:20,D15L09,0,0,,,,,,
13/8/24 11:07,H15L05,0,0,,,,,,
13/8/24 13:13,P15L08,0,0,,,,,,
13/8/24 13:45,Q17L10,0,0,,,,,,
13/8/24 13:18,P15L04,0,0,,,,,,
13/8/24 13:15,P15L07,0,0,,,,,,
13/8/24 13:51,Q17L05,0,0,,,,,,
13/8/24 12:24,K18L02,0,0,,,,,,
13/8/24 11:23,D15L07,0,0,,,,,,
13/8/24 11:21,D15L08,0,0,,,,,,
13/8/24 13:47,Q17L08,0,0,,,,,,
13/8/24 13:56,Q17L01,0,0,,,,,,
13/8/24 13:12,P15L09,0,0,,,,,,
13/8/24 12:19,K18L06,0,0,,,,,,
13/8/24 12:26,K18L01,0,0,,,,,,
13/8/24 13:16,P15L06,0,0,,,,,,
13/8/24 11:29,D15L02,0,0,,,,,,
13/8/24 11:26,D15L04,0,0,,,,,,
13/8/24 11:19,D15L10,0,0,,,,,,
13/8/24 11:10,H15L03,0,0,,,,,,
