Timestamp,Ref.,Weight,Number,,
19/3/24 11:29,H15L07,0.0038,3,,
19/3/24 11:27,H15L08,0.0278,5,,
19/3/24 11:26,H15L09,0.1102,19,,
19/3/24 11:24,H15L10,0.0005,1,,
19/3/24 19:03,D15L05,0.0000,0,,
20/3/24 07:08,D15L05,0.0191,4,,
19/3/24 19:04,D15L06,0.0571,5,,
19/3/24 11:09,D15L06,0.0294,10,,
19/3/24 15:07,D15L06,0.0000,0,,
20/3/24 07:10,D15L06,0.0617,9,,
19/3/24 19:06,D15L07,0.0024,5,,
19/3/24 15:08,D15L07,0.0064,2,,
19/3/24 11:11,D15L07,0.0031,3,,
20/3/24 07:12,D15L07,0.0000,0,,
19/3/24 19:07,D15L08,0.0245,26,,
19/3/24 21:29,P15L06,0.0000,0,,
19/3/24 20:54,Q17L05,0.0000,0,,
19/3/24 20:47,Q17L10,0.0000,0,,
19/3/24 15:09,D15L08,0.0111,5,,
20/3/24 07:42,H15L04,0.0000,0,,
19/3/24 11:12,D15L08,0.0000,0,,
20/3/24 07:34,H15L08,0.0000,0,,
20/3/24 09:56,P15L09,0.0030,24,,
20/3/24 07:40,H15L05,0.0013,4,,
20/3/24 09:28,Q17L03,0.0504,10,,
20/3/24 09:31,Q17L01,0.0879,7,,
20/3/24 07:15,D15L08,0.0149,24,,
20/3/24 07:38,H15L06,0.0024,4,,
20/3/24 09:57,P15L08,0.1068,8,,
19/3/24 19:08,D15L09,0.0083,2,,
19/3/24 15:10,D15L09,0.0109,3,,
20/3/24 09:59,P15L06,0.0335,6,,
20/3/24 09:55,P15L10,0.0000,0,,
19/3/24 11:14,D15L09,0.0258,6,,
20/3/24 08:38,K18L01,1.9350,16,,
20/3/24 07:17,D15L09,0.1490,14,,
20/3/24 07:31,H15L10,4.6763,3,,
19/3/24 19:09,D15L10,0.0441,25,,
20/3/24 07:45,H15L02,0.0082,1,,
20/3/24 08:28,K18L09,0.0063,4,,
20/3/24 10:04,P15L01,0.3778,6,,
20/3/24 10:01,P15L04,0.1136,10,,
20/3/24 09:19,Q17L10,0.3241,6,,
20/3/24 09:22,Q17L08,0.2491,3,,
20/3/24 09:20,Q17L09,0.0289,3,,
20/3/24 09:30,Q17L02,0.1442,8,,
20/3/24 08:37,K18L02,0.0843,23,,
20/3/24 08:31,K18L07,0.1647,10,,
20/3/24 07:36,H15L07,0.0110,7,,
20/3/24 07:47,H15L01,0.0014,2,,
20/3/24 08:32,K18L06,0.0490,11,,
20/3/24 08:36,K18L03,0.0051,2,,
20/3/24 08:27,K18L10,0.1686,7,,
20/3/24 09:24,Q17L06,0.0196,3,,
20/3/24 09:58,P15L07,0.0081,1,,
19/3/24 15:12,D15L10,0.0027,8,,
20/3/24 07:33,H15L09,0.0003,1,,
20/3/24 09:27,Q17L04,0.0167,8,,
20/3/24 07:44,H15L03,0.0166,13,,
20/3/24 09:25,Q17L05,0.0388,2,,
20/3/24 10:00,P15L05,0.0562,14,,
20/3/24 08:35,K18L04,0.0176,1,,
20/3/24 10:02,P15L03,0.0148,9,,
20/3/24 08:29,K18L08,0.0733,54,,
19/3/24 11:15,D15L10,0.0068,7,,
20/3/24 10:04,P15L02,0.0590,6,,
20/3/24 07:18,D15L10,0.0221,7,,
20/3/24 09:23,Q17L07,0.0136,4,,
20/3/24 08:33,K18L05,0.1187,4,,
