Timestamp,Ref.,Weight,Number
14/2/24 10:18,O18L06,0.5523,11
14/2/24 08:02,L15L05,2.2728,1
14/2/24 09:33,L17L08,1.4306,10
14/2/24 10:11,O18L08,1.1228,8
14/2/24 09:35,L17L10,0.8258,9
14/2/24 11:06,J15L09,0.3728,4
14/2/24 09:28,L17L01,1.0397,18
14/2/24 08:46,J13L08,0.1410,4
14/2/24 08:00,L15L01,0.1866,8
14/2/24 10:12,O18L10,3.6248,8
14/2/24 08:08,L15L09,1.7356,5
14/2/24 09:42,L17L03,1.8550,4
14/2/24 11:05,J15L10,0.3325,1
14/2/24 11:02,J15L05,2.0472,16
14/2/24 10:20,O18L04,0.2150,7
14/2/24 09:41,L17L04,1.3026,4
13/2/24 21:58,J15L05,0.0380,8
13/2/24 21:56,J15L02,0.0077,2
13/2/24 22:08,J15L07,0.0083,15
13/2/24 19:37,J13L05,0.0699,4
13/2/24 19:42,J13L09,0.1576,5
13/2/24 19:43,J13L07,0.0317,26
13/2/24 19:48,J13L03,0.0150,4
13/2/24 19:34,J13L02,0.0029,2
13/2/24 22:10,J15L06,0.0140,4
13/2/24 19:47,J13L04,0.5541,7
13/2/24 19:12,L15L06,0.0121,9
13/2/24 19:40,J13L08,0.0341,0
13/2/24 19:00,L15L01,0.0609,15
14/2/24 11:13,J15L03,0.0077,9
13/2/24 19:15,L15L03,0.0091,0
13/2/24 19:09,L15L09,0.0159,0
13/2/24 19:05,L15L08,0.0079,6
13/2/24 14:02,J15L06,0.0107,5
13/2/24 14:06,J15L03,0.0309,18
13/2/24 09:39,L17L06,0.1479,7
13/2/24 20:27,L17L10,0.0169,5
13/2/24 17:28,J15L01,0.0192,12
13/2/24 13:07,O18L05,0.0262,1
13/2/24 22:11,J15L04,0.0077,4
13/2/24 20:23,L17L05,0.0094,6
13/2/24 11:44,J13L08,0.0090,3
13/2/24 11:37,J13L01,0.0304,2
13/2/24 11:41,J13L05,0.2963,12
13/2/24 11:54,J13L03,0.0563,5
13/2/24 11:52,J13L04,0.0768,8
13/2/24 11:39,J13L02,0.0677,9
13/2/24 11:50,J13L06,0.1040,8
13/2/24 08:01,L15L02,0.0105,3
13/2/24 11:45,J13L10,0.0153,3
13/2/24 12:25,L17L05,0.0159,3
13/2/24 11:02,L15L02,0.0177,7
13/2/24 14:04,J15L04,0.0146,4
14/2/24 09:29,L17L02,0.3251,22
14/2/24 10:06,O18L02,0.0938,6
13/2/24 11:16,L15L04,0.0407,26
13/2/24 13:55,J15L08,0.0027,1
14/2/24 10:16,O18L07,0.3255,9
14/2/24 11:04,J15L08,1.0429,2
14/2/24 10:13,O18L09,0.0300,6
13/2/24 11:11,L15L09,0.0382,8
13/2/24 11:00,L15L01,0.0276,16
13/2/24 17:40,J15L06,0.0113,6
13/2/24 11:14,L15L06,0.2424,22
13/2/24 11:13,L15L07,0.0454,55
13/2/24 17:42,J15L04,0.0094,3
14/2/24 08:56,J13L03,0.0274,4
14/2/24 20:56,O18L01,0.0074,7
13/2/24 20:58,O18L02,0.0124,11
13/2/24 08:48,J13L10,0.0827,4
13/2/24 20:31,L17L06,0.0063,8
13/2/24 20:28,L17L09,0.0026,2
13/2/24 21:54,J15L01,0.0017,7
13/2/24 20:36,L17L03,0.0084,7
13/2/24 20:30,L17L07,0.0381,6
13/2/24 08:10,L15L07,0.0610,10
