Timestamp,Ref.,Weight,Number,,,,,
8/1/25 09:09,Q17L06,2.7581,2,,,,,
8/1/25 09:07,Q17L07,0.2349,1,,,,,
8/1/25 07:10,H15L03,0.0223,2,,,,,
8/1/25 09:11,Q17L05,0.0361,3,,,,,
8/1/25 07:13,H15L01,0.0055,4,,,,,
8/1/25 07:08,H15L05,0.1349,2,,,,,
8/1/25 07:03,H15L08,0.0058,1,,,,,
8/1/25 07:06,H15L06,0.2511,3,,,,,
8/1/25 08:10,K18L10,0.5272,16,,,,,
8/1/25 07:05,H15L07,0.0091,3,,,,,
8/1/25 09:05,Q17L09,0.1229,5,,,,,
8/1/25 09:04,Q17L10,0.0066,1,,,,,
8/1/25 09:13,Q17L03 ,0.0584,3,,,,,
8/1/25 09:15,Q17L02,0.2225,3,,,,,
8/1/25 07:28,D15L05,0.6711,27,,,,,
8/1/25 09:53,P15L04,0.2241,7,,,,,
8/1/25 07:02,H15L09,0.0305,1,,,,,
8/1/25 09:52,P15L05,0.0439,11,,,,,
8/1/25 09:54,P15L03,0.0667,3,,,,,
8/1/25 07:00,H15L10,0.0056,1,,,,,
8/1/25 07:34,D15L01,0.012,1,,,,,
8/1/25 09:12,Q17L04,0.2451,3,,,,,
8/1/25 09:16,Q17L01,0.09,6,,,,,
8/1/25 08:15,K18L07,0.1762,15,,,,,
8/1/25 08:12,K18L09,0.0505,4,,,,,
8/1/25 07:25,D15L07,0.0661,4,,,,,
8/1/25 09:51,P15L06,0.0249,12,,,,,
8/1/25 08:21,K18L02,0.1091,3,,,,,
8/1/25 07:21,D15L10,0,0,,,,,
8/1/25 07:26,D15L06,0.0621,1,,,,,
8/1/25 07:23,D15L08,0.0121,15,,,,,
8/1/25 08:18,K18L06,0.0713,3,,,,,
8/1/25 08:19,K18L04,0.0221,4,,,,,
8/1/25 08:19,K18L05,0.0043,3,,,,,
8/1/25 07:22,D15L09,0.0104,1,,,,,
8/1/25 08:20,K18L03,0.0662,5,,,,,
8/1/25 08:23,K18L01,0.0123,1,,,,,
8/1/25 09:47,P15L09,0.0013,1,,,,,
8/1/25 07:32,D15L02,0.0016,1,,,,,
8/1/25 09:48,P15L08,0.1238,4,,,,,
8/1/25 07:30,D15L04,0.0275,3,,,,,
7/1/25 19:26,D15L03,0.0132,3,,,,,
7/1/25 19:27,D15L02,0.0127,5,,,,,
7/1/25 19:28,D15L01,0.0205,8,,,,,
8/1/25 09:57,P15L01,0.2012,4,,,,,
7/1/25 19:24,D15L04,0.0063,2,,,,,
7/1/25 21:47,P15L03,0.0125,4,,,,,
8/1/25 09:49,P15L07,0.0044,1,,,,,
8/1/25 09:56,P15L02,0.3316,6,,,,,
7/1/25 19:20,D15L08,0.0186,10,,,,,
7/1/25 15:00,H15L10,0,0,,,,,
7/1/25 16:13,K18L05,0,0,,,,,
7/1/25 16:09,K18L09,0,0,,,,,
7/1/25 11:07,H15L04,0,0,,,,,
7/1/25 12:57,Q17L09,0,0,,,,,
7/1/25 12:58,Q17L08,0,0,,,,,
7/1/25 13:37,P15L06,0,0,,,,,
7/1/25 13:35,P15L08,0,0,,,,,
7/1/25 11:19,D15L09,0,0,,,,,
7/1/25 11:20,D15L08,0,0,,,,,
7/1/25 11:22,D15L06,0,0,,,,,
8/1/25 07:09,H15L04,0,0,,,,,
7/1/25 16:56,Q17L06,0,0,,,,,
8/1/25 09:46,P15L10,0,0,,,,,
7/1/25 17:00,Q17L02,0,0,,,,,
8/1/25 07:31,D15L03,0,0,,,,,
7/1/25 19:22,D15L06,0,0,,,,,
7/1/25 21:05,Q17L04,0,0,,,,,
7/1/25 21:08,Q17L02,0,0,,,,,
7/1/25 21:09,Q17L01,0,0,,,,,
7/1/25 21:42,P15L07,0,0,,,,,
7/1/25 15:23,D15L03,0,0,,,,,
7/1/25 11:03,H15L08,0,0,,,,,
7/1/25 21:43,P15L06,0,0,,,,,
7/1/25 15:23,D15L04,0,0,,,,,
7/1/25 15:24,D15L02,0,0,,,,,
7/1/25 16:57,Q17L05,0,0,,,,,
7/1/25 16:59,Q17L03 ,0,0,,,,,
7/1/25 17:34,P15L03,0,0,,,,,
7/1/25 15:06,H15L05,0,0,,,,,
7/1/25 15:02,H15L08,0,0,,,,,
7/1/25 11:26,D15L02,0,0,,,,,
7/1/25 13:42,P15L01,0,0,,,,,
7/1/25 11:06,H15L05,0,0,,,,,
