Timestamp,Ref,Weight,Number
24/8/23 07:13,P15L10,0.0206,1
24/8/23 07:14,P15L10,0.033,1
24/8/23 07:34,Q17L01,0.0075,1
24/8/23 07:35,Q17L02,0,0
24/8/23 07:36,Q17L03,0.0041,1
24/8/23 07:38,Q17L04,0.028,2
24/8/23 07:39,Q17L05,0.2335,2
24/8/23 07:40,Q17L06,0.107,2
24/8/23 07:41,Q17L07,0,0
24/8/23 07:42,Q17L08,0.0366,1
24/8/23 07:43,Q17L01,0,0
24/8/23 07:44,Q17L09,0,0
24/8/23 07:45,Q17L02,0.0966,2
24/8/23 07:47,Q17L03,0.112,2
24/8/23 07:48,Q17L04,0.0447,1
24/8/23 07:50,Q17L05,0.135,1
24/8/23 07:52,Q17L06,0.0048,1
24/8/23 07:53,Q17L07,0.0076,1
24/8/23 07:55,Q17L08,0.0179,2
24/8/23 07:56,Q17L09,0.0088,1
24/8/23 07:58,Q17L10,0,0
24/8/23 08:26,K18L01,0.0121,1
24/8/23 08:27,K18L02,0.0114,1
24/8/23 08:28,K18L03,0.1208,1
24/8/23 08:29,K18L04,0.0228,1
24/8/23 08:31,K18L05,0,0
24/8/23 08:33,K18L06,0,0
24/8/23 08:34,K18L07,0,0
24/8/23 08:35,K18L08,0,0
24/8/23 08:37,K18L09,0.0021,1
24/8/23 09:06,D15L01,0.0175,1
24/8/23 09:07,D15L02,0.0115,2
24/8/23 09:08,D15L03,0,0
24/8/23 09:09,D15L04,0,0
24/8/23 09:11,D15L06,0,1
24/8/23 09:12,D15L07,0,0
24/8/23 09:13,D15L08,0.0548,1
24/8/23 09:14,D15L09,0,0
24/8/23 09:15,D15L10,0.1037,1
24/8/23 09:23,H15L01,0,1
24/8/23 09:24,H15L02,0.087,1
24/8/23 09:25,H15L03,0.0022,4
24/8/23 09:26,H15L04,0.0002,1
24/8/23 09:28,H15L06,0.0085,1
24/8/23 09:30,H15L07,0.0095,2
24/8/23 09:31,H15L08,0.0402,1
24/8/23 09:32,H15L09,0.0342,1
24/8/23 09:33,H15L10,0,1
24/8/23 11:00,P15L01,0.0123,1
24/8/23 11:01,P15L02,0,0
24/8/23 11:02,P15L03,0.0113,1
24/8/23 11:03,P15L04,0.0036,1
24/8/23 11:04,P15L05,0,0
24/8/23 11:07,P15L07,0,0
24/8/23 11:08,P15L08,0,0
24/8/23 11:10,P15L09,0,0
24/8/23 15:00,P15L01,0,0
24/8/23 15:01,P15L02,0,0
24/8/23 15:02,P15L09,0,0
24/8/23 15:02,P15L03,0.0829,4
24/8/23 15:04,P15L05,0.0679,6
24/8/23 15:04,P15L04,0,0
24/8/23 15:05,P15L06,0.0476,10
24/8/23 15:06,P15L07,0.0081,1
24/8/23 15:07,P15L08,0.0299,4
24/8/23 15:09,P15L10,0,0
24/8/23 15:34,Q17L01,0,0
24/8/23 15:35,Q17L02,0,0
24/8/23 15:36,Q17L03,0.005,2
24/8/23 15:37,Q17L04,0,0
24/8/23 15:38,Q17L05,0.0046,2
24/8/23 15:39,Q17L06,0,0
24/8/23 15:40,Q17L07,0.0048,1
24/8/23 15:41,Q17L08,0.0097,1
24/8/23 15:42,Q17L09,0.0268,5
24/8/23 15:43,Q17L10,0.0272,4
24/8/23 16:11,K18L01,0.0106,2
24/8/23 16:12,K18L02,0,0
24/8/23 16:13,K18L03,0.0128,5
24/8/23 16:14,K18L04,0.0196,6
24/8/23 16:15,K18L05,0.0149,3
24/8/23 16:16,K18L06,0.0062,1
24/8/23 16:17,K18L07,0.0126,2
24/8/23 16:18,K18L08,0.0276,1
24/8/23 16:19,K18L09,0.0121,2
24/8/23 16:20,K18L10,0.0174,4
24/8/23 16:45,D15L01,0.0185,3
24/8/23 16:46,D15L02,0.0394,6
24/8/23 16:47,D15L03,0.0088,1
24/8/23 16:48,D15L04,0.0129,3
24/8/23 16:49,D15L05,0,0
24/8/23 16:50,D15L06,0,0
24/8/23 16:51,D15L07,0.0199,2
24/8/23 16:52,D15L08,0.0061,1
24/8/23 16:53,D15L09,0.0125,2
24/8/23 16:54,D15L10,0.0285,6
24/8/23 17:00,H15L01,0.0075,1
24/8/23 17:01,H15L02,0.0311,5
