Timestamp,Ref.,Weight,Number,,,,,,,,,
23/1/24 16:16,O18L05,0.0035,1,,,,,,,,,
23/1/24 16:48,L17L06,0.0072,5,,,,,,,,,
23/1/24 16:45,L17L03,0.0457,7,,,,,,,,,
23/1/24 16:55,L17L08,0.0046,2,,,,,,,,,
23/1/24 16:13,O18L10,0.0063,3,,,,,,,,,
23/1/24 16:20,O18L01,0.0000,0,,,,,,,,,
23/1/24 16:06,O18L04,0.0000,0,,,,,,,,,
23/1/24 16:05,O18L03,0.0000,0,,,,,,,,,
24/1/24 09:27,L17L02,0.0439,8,,,,,,,,,
24/1/24 08:39,O18L02,0.0127,11,,,,,,,,,
24/1/24 08:23,O18L03,0.0811,4,,,,,,,,,
24/1/24 08:37,O18L05,0.0571,2,,,,,,,,,
24/1/24 09:52,J13L04,0.0666,11,,,,,,,,,
24/1/24 08:35,O18L08,0.0413,7,,,,,,,,,
24/1/24 09:16,L17L04,0.0220,14,,,,,,,,,
24/1/24 09:21,L17L09,0.0417,3,,,,,,,,,
24/1/24 09:14,L17L03,0.1248,101,,,,,,,,,
23/1/24 11:33,L17L03,0.0386,20,,,,,,,,,
23/1/24 11:39,L17L07,0.0092,8,,,,,,,,,
23/1/24 11:40,L17L09,0.1051,7,,,,,,,,,
23/1/24 11:46,L17L05,0.0291,8,,,,,,,,,
23/1/24 11:35,L17L04,0.0083,5,,,,,,,,,
23/1/24 11:44,L17L08,0.0036,4,,,,,,,,,
23/1/24 11:42,L17L10,0.0376,1,,,,,,,,,
23/1/24 11:36,L17L06,0.0079,8,,,,,,,,,
23/1/24 11:48,L17L02,0.0224,17,,,,,,,,,
23/1/24 11:05,J15L07,0.0093,12,,,,,,,,,
23/1/24 11:09,J15L10,0.0525,2,,,,,,,,,
23/1/24 11:49,L17L01,0.0582,14,,,,,,,,,
23/1/24 11:01,J15L04,0.0165,13,,,,,,,,,
23/1/24 11:00,J15L03,0.0049,2,,,,,,,,,
23/1/24 11:14,J15L02,0.1003,98,,,,,,,,,
23/1/24 17:24,J13L09,0.0091,6,,,,,,,,,
23/1/24 17:34,J13L01,0.0012,1,,,,,,,,,
23/1/24 15:34,L17L03,0.0066,4,,,,,,,,,
23/1/24 17:28,J13L08,0.0052,3,,,,,,,,,
23/1/24 15:41,L17L10,0.0000,0,,,,,,,,,
23/1/24 15:08,J15L10,0.0027,3,,,,,,,,,
23/1/24 17:18,J13L03,0.0000,0,,,,,,,,,
23/1/24 15:35,L17L04,0.0000,0,,,,,,,,,
23/1/24 15:40,L17L09,0.0052,8,,,,,,,,,
23/1/24 15:38,L17L07,0.0044,3,,,,,,,,,
23/1/24 15:07,J15L09,0.0087,6,,,,,,,,,
23/1/24 15:37,L17L06,0.0089,8,,,,,,,,,
23/1/24 15:47,L17L02,0.0031,1,,,,,,,,,
23/1/24 15:05,J15L07,0.0000,0,,,,,,,,,
23/1/24 15:12,J15L05,0.0093,8,,,,,,,,,
23/1/24 15:43,L17L08,0.0000,0,,,,,,,,,
23/1/24 15:01,J15L04,0.0000,0,,,,,,,,,
23/1/24 13:39,J13L08,0.0093,4,,,,,,,,,
23/1/24 12:21,O18L08,0.0081,5,,,,,,,,,
23/1/24 12:26,O18L01,0.0342,13,,,,,,,,,
23/1/24 12:25,O18L02,0.0132,5,,,,,,,,,
23/1/24 12:19,O18L10,0.0123,7,,,,,,,,,
23/1/24 13:06,L17L05,0.0712,9,,,,,,,,,
23/1/24 13:10,L17L01,0.0048,4,,,,,,,,,
23/1/24 12:57,L17L06,0.0116,2,,,,,,,,,
23/1/24 13:27,J13L03,0.0775,7,,,,,,,,,
23/1/24 13:08,L17L02,0.0070,9,,,,,,,,,
23/1/24 12:12,O18L04,0.0485,3,,,,,,,,,
23/1/24 13:31,J13L06,0.0221,2,,,,,,,,,
23/1/24 13:03,L17L08,0.0214,4,,,,,,,,,
23/1/24 13:02,L17L10,0.0060,5,,,,,,,,,
23/1/24 13:33,J13L07,0.0263,7,,,,,,,,,
23/1/24 12:53,L17L03,0.0082,10,,,,,,,,,
23/1/24 12:54,L17L04,0.0268,22,,,,,,,,,
23/1/24 13:00,L17L09,0.0012,1,,,,,,,,,
23/1/24 12:23,O18L05,0.0016,4,,,,,,,,,
23/1/24 12:15,O18L07,0.0134,9,,,,,,,,,
23/1/24 13:45,J13L01,0.0283,4,,,,,,,,,
23/1/24 12:17,O18L09,0.0007,2,,,,,,,,,
23/1/24 12:14,O18L06,0.0095,2,,,,,,,,,
24/1/24 09:54,J13L06,0.0000,0,,,,,,,,,
24/1/24 10:01,J13L08,0.0179,13,,,,,,,,,
24/1/24 09:50,J13L03,0.0556,13,,,,,,,,,
24/1/24 09:29,L17L01,0.0110,4,,,,,,,,,
24/1/24 10:04,J13L05,0.0784,13,,,,,,,,,
24/1/24 08:41,O18L01,0.0411,15,,,,,,,,,
24/1/24 09:17,L17L06,0.0231,6,,,,,,,,,
24/1/24 09:22,L17L10,0.3790,11,,,,,,,,,
24/1/24 10:08,J13L01,0.0749,3,,,,,,,,,
24/1/24 08:25,O18L04,0.0000,0,,,,,,,,,
