Timestamp,Ref.,Weight,Number,,,,
5/11/24 21:47,H15L09,0,0,,,,
5/11/24 21:38,D15L01,0,0,,,,
5/11/24 19:07,K18L05,0,0,,,,
6/11/24 10:06,H15L01,0,0,,,,
6/11/24 10:05,H15L02,0,0,,,,
6/11/24 10:01,H15L05,0,0,,,,
5/11/24 21:30,D15L03,0,0,,,,
5/11/24 19:00,K18L10,0,0,,,,
6/11/24 08:39,P15L09,0,0,,,,
5/11/24 21:34,D15L04,0,0,,,,
6/11/24 09:54,H15L10,0,0,,,,
6/11/24 09:59,H15L06,0,0,,,,
6/11/24 07:56,Q17L03,0,0,,,,
6/11/24 07:48,Q17L09,0,0,,,,
6/11/24 07:51,Q17L07,0,0,,,,
6/11/24 09:42,D15L03,0,0,,,,
6/11/24 09:58,H15L07,0,0,,,,
6/11/24 09:41,D15L04,0,0,,,,
6/11/24 08:38,P15L10,0,0,,,,
5/11/24 19:56,Q17L06,0,0,,,,
5/11/24 20:01,Q17L02,0,0,,,,
5/11/24 21:48,H15L08,0,0,,,,
5/11/24 20:40,P15L06,0,0,,,,
5/11/24 16:33,P15L06,0,0,,,,
5/11/24 19:09,K18L03,0,0,,,,
6/11/24 08:47,P15L03,0,0,,,,
5/11/24 21:57,H15L01,0,0,,,,
5/11/24 19:59,Q17L04,0,0,,,,
5/11/24 19:54,Q17L08,0,0,,,,
6/11/24 10:02,H15L04,0,0,,,,
6/11/24 07:07,K18L05,0,0,,,,
6/11/24 07:57,Q17L02,0,0,,,,
6/11/24 07:52,Q17L06,0,0,,,,
6/11/24 07:55,Q17L04,0,0,,,,
6/11/24 07:49,Q17L08,0,0,,,,
6/11/24 07:58,Q17L01,0,0,,,,
5/11/24 19:51,Q17L10,0,0,,,,
6/11/24 09:43,D15L02,0,0,,,,
5/11/24 15:54,Q17L06,0,0,,,,
5/11/24 15:50,Q17L10,0,0,,,,
5/11/24 17:24,D15L04,0,0,,,,
5/11/24 17:19,D15L08,0,0,,,,
5/11/24 17:21,D15L07,0,0,,,,
5/11/24 16:37,P15L03,0,0,,,,
6/11/24 08:50,P15L01,0,0,,,,
5/11/24 15:08,K18L04,0,0,,,,
5/11/24 15:51,Q17L09,0,0,,,,
5/11/24 15:00,K18L10,0,0,,,,
5/11/24 21:55,H15L03,0,0,,,,
5/11/24 21:51,H15L06,0,0,,,,
5/11/24 15:12,K18L01,0,0,,,,
5/11/24 15:07,K18L05,0,0,,,,
5/11/24 21:54,H15L04,0,0,,,,
5/11/24 17:23,D15L05,0,0,,,,
5/11/24 15:11,K18L02,0,0,,,,
5/11/24 15:01,K18L09,0,0,,,,
5/11/24 19:11,K18L02,0,0,,,,
5/11/24 11:52,Q17L07,0,0,,,,
5/11/24 12:46,P15L01,0,0,,,,
5/11/24 13:46,H15L10,0,0,,,,
5/11/24 13:32,D15L06,0,0,,,,
5/11/24 11:58,Q17L02,0,0,,,,
5/11/24 13:35,D15L04,0,0,,,,
5/11/24 13:36,D15L03,0,0,,,,
5/11/24 13:28,D15L09,0,0,,,,
5/11/24 13:31,D15L07,0,0,,,,
5/11/24 13:54,H15L04,0,0,,,,
5/11/24 12:34,P15L10,0,0,,,,
5/11/24 12:38,P15L07,0,0,,,,
5/11/24 13:56,H15L02,0,0,,,,
5/11/24 13:48,H15L08,0,0,,,,
5/11/24 11:53,Q17L06,0,0,,,,
5/11/24 13:34,D15L05,0,0,,,,
5/11/24 13:58,H15L01,0,0,,,,
5/11/24 11:55,Q17L05,0,0,,,,
5/11/24 11:13,K18L01,0,0,,,,
5/11/24 11:12,K18L02,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
