Timestamp,Ref.,Weight,Number,,,,,,,,,
28/12/23 11:00,D15L05,0.4264,2,,,,,,,,,
28/12/23 11:02,D15L06,0.0014,2,,,,,,,,,
28/12/23 11:04,D15L07,0.0019,3,,,,,,,,,
28/12/23 11:05,D15L08,0.0326,9,,,,,,,,,
28/12/23 11:07,D15L09,0.0023,1,,,,,,,,,
28/12/23 11:09,D15L10,0.0042,2,,,,,,,,,
28/12/23 11:11,D15L04,0.0124,12,,,,,,,,,
28/12/23 11:12,D15L03,0.0083,6,,,,,,,,,
28/12/23 11:14,D15L02,0.0531,3,,,,,,,,,
28/12/23 11:15,D15L01,0.6617,4,,,,,,,,,
28/12/23 11:42,K18L05,0.0037,2,,,,,,,,,
28/12/23 11:44,K18L06,0.0085,6,,,,,,,,,
28/12/23 11:46,K18L07,0.0233,3,,,,,,,,,
28/12/23 11:46,K18L10,0.0073,2,,,,,,,,,
28/12/23 11:48,K18L08,0.0165,9,,,,,,,,,
28/12/23 11:50,K18L09,0.0287,9,,,,,,,,,
28/12/23 11:54,K18L04,0.0312,16,,,,,,,,,
28/12/23 11:56,K18L03,0.0234,15,,,,,,,,,
28/12/23 11:58,K18L02,0.0721,4,,,,,,,,,
28/12/23 12:00,K18L01,0.0623,10,,,,,,,,,
28/12/23 12:30,Q17L05,0.0538,3,,,,,,,,,
28/12/23 12:32,Q17L06,0.0835,2,,,,,,,,,
28/12/23 12:34,Q17L07,0.0000,0,,,,,,,,,
28/12/23 12:36,Q17L08,0.0000,0,,,,,,,,,
28/12/23 12:37,Q17L09,0.0318,7,,,,,,,,,
28/12/23 12:39,Q17L10,0.0000,0,,,,,,,,,
28/12/23 12:42,Q17L04,0.0771,2,,,,,,,,,
28/12/23 12:46,Q17L03,0.0000,0,,,,,,,,,
28/12/23 12:52,Q17L02,0.0000,0,,,,,,,,,
28/12/23 12:53,Q17L01,0.0000,0,,,,,,,,,
28/12/23 13:20,P15L05,0.0186,4,,,,,,,,,
28/12/23 13:23,P15L06,0.0000,0,,,,,,,,,
28/12/23 13:24,P15L07,0.0478,6,,,,,,,,,
28/12/23 13:25,P15L08,0.0000,0,,,,,,,,,
28/12/23 13:27,P15L09,0.0083,2,,,,,,,,,
28/12/23 13:28,P15L10,0.0142,5,,,,,,,,,
28/12/23 13:32,P15L03,0.0155,4,,,,,,,,,
28/12/23 13:34,P15L02,0.0204,3,,,,,,,,,
28/12/23 13:35,P15L01,0.0080,2,,,,,,,,,
28/12/23 13:37,P15L04,0.0013,1,,,,,,,,,
28/12/23 14:06,H15L05,0.0120,4,,,,,,,,,
28/12/23 14:08,H15L06,0.0054,4,,,,,,,,,
28/12/23 14:10,H15L07,0.0101,5,,,,,,,,,
28/12/23 14:12,H15L08,0.0379,2,,,,,,,,,
28/12/23 14:14,H15L09,0.0554,3,,,,,,,,,
28/12/23 14:16,H15L10,0.0055,3,,,,,,,,,
28/12/23 14:19,H15L04,0.0038,4,,,,,,,,,
28/12/23 14:21,H15L03,0.0000,0,,,,,,,,,
28/12/23 14:23,H15L02,0.0116,7,,,,,,,,,
28/12/23 14:24,H15L01,0.0164,12,,,,,,,,,
28/12/23 15:00,D15L05,0.0002,1,,,,,,,,,
28/12/23 15:01,D15L06,0.0012,1,,,,,,,,,
28/12/23 15:04,D15L07,0.0082,4,,,,,,,,,
28/12/23 15:05,D15L08,0.0285,8,,,,,,,,,
28/12/23 15:06,D15L09,0.0202,10,,,,,,,,,
28/12/23 15:07,D15L10,0.0176,5,,,,,,,,,
28/12/23 15:11,D15L04,0.0045,3,,,,,,,,,
28/12/23 15:12,D15L03,0.0056,7,,,,,,,,,
28/12/23 15:14,D15L02,0.0310,14,,,,,,,,,
28/12/23 15:16,D15L01,0.0202,7,,,,,,,,,
28/12/23 15:44,K18L05,0.0138,5,,,,,,,,,
28/12/23 15:45,K18L06,0.0024,1,,,,,,,,,
28/12/23 15:47,K18L07,0.0116,5,,,,,,,,,
28/12/23 15:49,K18L08,0.0088,3,,,,,,,,,
28/12/23 15:50,K18L09,0.0239,8,,,,,,,,,
28/12/23 15:52,K18L10,0.0036,1,,,,,,,,,
28/12/23 15:54,K18L04,0.0370,9,,,,,,,,,
28/12/23 15:55,K18L03,0.0147,5,,,,,,,,,
28/12/23 15:57,K18L02,0.0039,1,,,,,,,,,
28/12/23 15:58,K18L01,0.0300,10,,,,,,,,,
28/12/23 16:34,Q17L05,0.0000,0,,,,,,,,,
28/12/23 16:36,Q17L06,0.0006,1,,,,,,,,,
28/12/23 16:37,Q17L07,0.0289,4,,,,,,,,,
28/12/23 16:39,Q17L08,0.0000,0,,,,,,,,,
28/12/23 16:41,Q17L09,0.0043,2,,,,,,,,,
28/12/23 16:43,Q17L10,0.0097,2,,,,,,,,,
28/12/23 16:46,Q17L02,0.0060,3,,,,,,,,,
28/12/23 16:46,Q17L04,0.0432,2,,,,,,,,,
28/12/23 16:47,Q17L03,0.1276,2,,,,,,,,,
28/12/23 16:50,Q17L01,0.0000,0,,,,,,,,,
28/12/23 17:12,P15L05,0.0395,6,,,,,,,,,
28/12/23 17:13,P15L06,0.0054,4,,,,,,,,,
28/12/23 17:15,P15L07,0.0082,2,,,,,,,,,
28/12/23 17:16,P15L08,0.0119,1,,,,,,,,,
28/12/23 17:18,P15L09,0.0009,2,,,,,,,,,
28/12/23 17:19,P15L10,0.0000,0,,,,,,,,,
28/12/23 17:22,P15L04,0.0102,4,,,,,,,,,
28/12/23 17:23,P15L03,0.0227,6,,,,,,,,,
28/12/23 17:25,P15L02,0.0256,6,,,,,,,,,
28/12/23 17:26,P15L01,0.0230,7,,,,,,,,,
28/12/23 18:02,H15L05,0.0143,5,,,,,,,,,
28/12/23 18:04,H15L06,0.0084,5,,,,,,,,,
28/12/23 18:06,H15L07,0.0206,9,,,,,,,,,
28/12/23 18:07,H15L08,0.0268,6,,,,,,,,,
28/12/23 18:09,H15L09,0.0440,3,,,,,,,,,
28/12/23 18:10,H15L10,0.0131,5,,,,,,,,,
28/12/23 18:13,H15L04,0.2311,9,,,,,,,,,
28/12/23 18:13,H15L04,0.0027,2,,,,,,,,,
28/12/23 18:14,H15L03,0.0074,6,,,,,,,,,
28/12/23 18:16,H15L02,0.0051,3,,,,,,,,,
28/12/23 19:00,D15L05,0.0006,1,,,,,,,,,
28/12/23 19:01,D15L06,0.0003,1,,,,,,,,,
28/12/23 19:02,D15L07,0.0828,3,,,,,,,,,
28/12/23 19:04,D15L08,0.0082,2,,,,,,,,,
28/12/23 19:06,D15L09,0.0093,3,,,,,,,,,
28/12/23 19:08,D15L10,0.0054,1,,,,,,,,,
