Time Stamp;Location;Weight;Biomass;COMMENTS
2005/11/25 19:04;L15L04 D;0.0267;8;1x Tetra sol, 2x C. fulv, 5x Ocy barb
2011/05/25 15:04;L15L04 D;0;0;
2005/11/25 11:05;L15L05;1.3961;1;1x Passil fortic
2005/11/25 15:03;L15L05;0.0083;2;1x Ocy barb, 1x Pento *same as above
2006/11/25 07:10;L15L05;1.4146;3;1x Anth cinc, 2X Ocy barb
2011/05/25 19:03;L15L05;0;0;
2006/11/25 07:08;L15L06 D;0;0;
2005/11/25 11:05;L15L06 D;0;0;
2005/11/25 15:03;L15L06 D;0.0009;1;1x Ocym barbiger
2005/11/25 19:02;L15L06 D;0.0273;6;2x C. fulv, 1x Ibala oko,3x  Mono esharre
2011/05/25 15:02;L15L07;0;0;
2025/11/25 07:05;L15L07;0.0543;3;1x C. mac,1x Ancylotrypa cf., 1x Strang. *velvet
2005/11/25 11:04;L15L07;0.0078;3;1x Tetra solid, 2x Tened *as above small brown
2005/11/25 19:01;L15L07;0.0089;8;2x Tened * small brown, 1x Ocy barb, 4 x Mono esharre, 1x Wasp
2025/11/25 11:02;L15L08 D;0.0361;14;1x C. fulv, 13x Tetra soli
2006/11/25 07:01;L15L08 D;0.1233;18;1x spider, 2x Metaca. dentinum, 15x Tetra. 
2005/11/25 15:01;L15L08 D;0.0043;5;4x Tetra soli, 1x Ocy barb
2005/11/25 19:01;L15L08 D;0.0092;11;11x Tetra soli
2011/05/25 15:00;L15L09;0;0;
2005/11/25 11:02;L15L09;0.0011;1;1x Phelgra * Scarab
2006/11/25 07:01;L15L09;2.0449;5;1x P. raudus, 1x Herp gracil, 1x Strang *velvet as above, 1x C. mac, 1x Coleo *no ID
2005/11/25 19:00;L15L09;0.0015;6;1x Tetra inezulae, 5x Mono cap
2005/11/25 11:00;L15L10 D;0;0;
2005/11/25 15:00;L15L10 D;0.0246;1;1x Penta *same as above
2005/11/25 07:00;L15L10 D;2.6289;5;1x Gonopus tib, 1x Cypholoba alstoni, 1x Parabuthus raud, 1x Ocy barbi, 1x Strang
2005/11/25 19:00;L15L10 D;0.0242;5;2x Zoo arcana, 1x Ocy barb, 1x Zodariid, 1x Phediole tenui
2011/05/25 15:38;L17L01;0;0;
2005/11/25 19:39;L17L01;0.0001;1;1x Phediole sp.1 *tiny spines, yellow and black gaster
2005/11/25 11:37;L17L01;0.0442;1;1x Zoo kal
2005/11/25 08:15;L17L01;0.5006;2;1x Tok zof, 1x Gynandrotilla * as above
2005/11/25 19:37;L17L02 D;0.0002;2;2x Monomorium esharre
2005/11/25 11:35;L17L02 D;0.9934;2;1x Odo, 1x Zoo kal
2006/11/25 08:13;L17L02 D;5.1162;6;3x Anth cinc, 1x Asemes linea, 1x Tok zof, 1x Scarabaeidae
2011/05/25 15:37;L17L02 D;0;0;
2025/11/25 11:34;L17L03;0.102;2;1x M. ana, 1x Tenebrionid larva
2006/11/25 08:07;L17L03;0.9129;4;2x Tok. Zof, 1x Herp, 1x Mega. Ana
2005/11/25 19:35;L17L03;0.0138;3;2x Ocy. Barb, 1x Mega ana
2011/05/25 15:36;L17L03;0;0;
2006/11/25 08:04;L17L04 D;0;0;
2005/11/25 11:34;L17L04 D;0.0105;1;1x C. fulv
2005/11/25 15:35;L17L04 D;0.0099;5;3x Ocy barb, 2x Phediol tenui
2005/11/25 19:34;L17L04 D;0.0016;6;3x Phedio capen, 3x Mono sp.
2006/11/25 08:02;L17L05;2.9123;1;1x Anth cinc
2005/11/25 11:33;L17L05;0.0053;1;1x C. fulv
2005/11/25 19:33;L17L05;0.0116;1;1x Weevil *Mimaulus
2005/11/25 15:34;L17L05;0.8314;5;3x Ocy barb, 1 x bagworm, 1x Gynandrotilla *new velvet ant
2005/11/25 11:32;L17L06 D;0.0207;3;1x C. fulvo, 1x Ocy. Barbiger, 1x Spider
2005/11/25 15:33;L17L06 D;0.0049;2;2x Ocy. Barb
2005/11/25 19:33;L17L06 D;0.0067;4;3x Ocy barb, 1x Techno pallip
2006/11/25 07:59;L17L06 D;0.3498;5;1x Tok zof, 1x C. ful, 3 Tetra soli
2005/11/25 11:31;L17L07;0;0;
2011/05/25 19:31;L17L07;0;0;
2005/11/25 15:31;L17L07;0.0041;1;1x Salticid
2006/11/25 07:57;L17L07;1.8821;10;1x Anth cinc, 3x Mega ana, 3x Ocy barb, 3x Tetra soli
2005/11/25 11:30;L17L08 D;0.0655;14;1x Zoo. Subcor, 13x Ocy. Barb
2006/11/25 07:55;L17L08 D;8.5262;4;1x Harpo *new milli, 3x Anth cinc, 
2005/11/25 19:31;L17L08 D;0.0081;4;3x Ocy barb, 1x Tetra servi
2005/11/25 15:30;L17L08 D;0.0323;11;1x Ibala bilinea, 10x Ocy barb
2006/11/25 07:52;L17L09;0;0;
2005/11/25 11:29;L17L09;0;0;
2011/05/25 19:30;L17L09;0;0;
2005/11/25 15:29;L17L09;0.0045;2;1x Ocy barb, 1x Mono haval
2011/05/25 19:25;L17L10 D;0;0;
2005/11/25 11:28;L17L10 D;0.0084;1;1x Ibala oko
2006/11/25 07:49;L17L10 D;1.3045;4;1x Tok zof, 2x Cyphlob alst, 1x Cimichora
2011/05/25 15:28;L17L10 D;0;0;
2005/11/25 16:12;O18L01;0.0018;2;1x Ocy. barbiger, 1x Tenebrionid
2006/11/25 09:10;O18L01;0.0151;2;1x Zoo. Arcan, 1x Calaharena *cf
2005/11/25 12:09;O18L01;0.0121;1;1x C. fulv
2005/11/25 20:12;O18L01;0.0086;4;1x C. mac, 1x Tetra grandi, 1x Ocy barb, 1x Techno pallip
2005/11/25 16:11;O18L02 D;0.0041;1;1x Ocy. Barbiger
2005/11/25 20:11;O18L02 D;0.0747;1;1x Stips dohrni
2005/11/25 12:07;O18L02 D;2.343;2;1x Anth cinc, 1x Ocy barb
2006/11/25 09:02;O18L02 D;1.5953;3;1x Anth cinc, 2x Tetra soli
2005/11/25 12:06;O18L03;0.057;3;2x C. fulv, 1x Tetra soli
2005/11/25 16:09;O18L03;0.0041;2;1x Ocy barb, 1x Tetra servi
2005/11/25 20:09;O18L03;0.0366;4;1x Zoo subcor, 1x Ocy barb, 1x Tetra solid, 1x Phedio tenui
2006/11/25 08:59;O18L03;1.9147;28;1x Odo, 1x Tok zof, 1x Zoo sub, 1x Rhad, 1x Herp grac, 1x Mega ana, 1x C. fulv, 2x C.mac, 19x Tetra solid
2006/11/25 08:57;O18L04 D;0.0194;1;1x Mega ana
2005/11/25 20:07;O18L04 D;0;1;1x Techno pallip* pale legs and reddish jaws
2005/11/25 12:05;O18L04 D;0.0029;1;1x Ocy barb
2011/05/25 16:08;O18L04 D;0;0;
2005/11/25 12:04;O18L05;0.0059;2;1x Ocy barb, 1x Ten larva
2005/11/25 20:06;O18L05;0.0103;1;1x Mega ana
2006/11/25 08:54;O18L05;1.7788;8;1x Spinotarsus, 1x Gnaphosid *Camil, 1x Ctenolep latera, 4x Tetra soli, 1x Mega ana
2011/05/25 16:07;O18L05;0;0;
2011/05/25 16:06;O18L06 D;0;0;
2005/11/25 12:03;O18L06 D;0.034;1;1x Zoo subcor
2005/11/25 20:04;O18L06 D;0.0313;6;1x Rhaphidosoma, 5x Tetra grand
2006/11/25 08:52;O18L06 D;2.2607;7;1x May, 1x Odo, 1x Boeo epi, 1x Boeo, 3x Tetra grand
2005/11/25 16:05;O18L07;0.1109;5;1x Zoo. Subc, 1x Zoo. Kal, 1x Ocy. Barb, 1x C. fulv, 1x Pento *same as above
2005/11/25 20:03;O18L07;0.2938;4;1x Zoo arcana, 1x Gonopus, 1x Mega ana, 1x Ibala oko
2005/11/25 12:02;O18L07;2.9767;4;2x Odo, 1x C. fulv, 1x Tetra solid
2006/11/25 08:50;O18L07;3.4163;5;1x P. raud, 1x Anth cinc, 1x Weevil, 1x Mega ana, 1x Messor denti
2011/05/25 16:04;O18L08 D;0;0;
2005/11/25 20:02;O18L08 D;0.0465;4;1x Asemesthes lineatus, 1x Zoo. Kala, 1x Tetra. Solidum, 1x Penta
2006/11/25 08:47;O18L08 D;0.0209;2;1x Herp grac, 1x Tetra soli
2005/11/25 12:00;O18L08 D;3.7388;17;8x Omor rusticus, 5x Scarabaeolus, 3x Onthophargus, 1x Mega ana
2005/11/25 20:01;O18L09;0.0058;1;1x Ant *queen or drone, possible Lepi
2005/11/25 11:59;O18L09;3.0286;1;1x Anth cinc
2006/11/25 08:44;O18L09;4.8617;7;3X Anth cinc, 2x Odo, 1x Centolep latera, 1x Eresid
2011/05/25 16:03;O18L09;0;0;
2011/05/25 16:01;O18L10 D;0;0;
2005/11/25 19:59;O18L10 D;0.0094;1;1x Ibala okoro
2005/11/25 11:58;O18L10 D;0.0137;1;1x C. fulv
2006/11/25 08:41;O18L10 D;0.0059;1;1x Asemes linea
