2025.08.30 17:00:00;0x7AC60;2000;000000000008
2025.08.30 17:45:00;0x7B480;2000;000000000008
2003.07.03 00:00:00;0xDE640;2000;000000000008
2003.03.03 08:00:00;0xDE998;2000;000000000008
2001.03.01 00:00:00;0xDEDB0;2000;000000000308
2001.03.01 00:00:00;0xDEDC0;2000;000308300008
2001.03.01 23:45:00;0xDEFB8;2000;000400000008
2001.03.01 06:45:00;0xDF0A0;2000;000000000008
2001.03.01 00:00:00;0xDF0D0;2000;000407001408
2001.03.01 07:00:00;0xDF0E0;2000;000000000008
2003.07.01 00:00:00;0xDF320;2000;000000000008
2003.07.01 00:00:00;0xDF370;2000;000100003F08
2003.07.01 00:00:00;0xDF388;2000;000000000008
