2025.07.19 20:15:00;0xA1628;2000;000000000008
2025.07.19 00:00:00;0xA1668;2000;000700003F08
2025.07.19 00:00:00;0xA1678;2000;000000007F08
2025.07.19 00:00:00;0xA16E0;2000;000100003F08
2025.07.19 00:00:00;0xA16F0;2000;000000000008
2025.07.19 00:00:00;0xA1730;2000;000100000708
2001.01.01 03:00:00;0xA1A08;2000;000000000008
2003.03.03 03:00:00;0xA1BC0;2000;000000000008
2003.03.03 00:00:00;0xA6B08;2000;000000000308
2001.01.07 03:00:00;0xA6B30;2000;000000000308
2003.03.07 03:00:00;0xA6BA8;2000;000000001F08
2007.07.01 01:00:00;0xA6C38;2000;000000000008
2001.01.07 01:00:00;0xAA538;2000;000000000008
2001.01.07 00:00:00;0xAA600;2000;000100000008
2001.01.07 00:00:00;0xAA610;2000;000000000008
2001.01.07 00:00:00;0xAA640;2000;070100000008
2001.01.07 00:00:00;0xAA650;2000;000000000008
2007.07.03 00:00:00;0xAA688;2000;000000000108
2007.07.03 00:00:00;0xAA6A0;2000;000101300008
2007.07.03 00:00:00;0xAA6E0;2000;000103000008
2007.07.03 05:00:00;0xAA730;2000;000000000008
2007.07.03 00:00:00;0xAA740;2000;000105150308
2007.03.01 01:00:00;0xAA7F8;2000;000112450008
2007.03.01 23:45:00;0xAA968;2000;000200000008
2007.03.01 04:30:00;0xAAA08;2000;000204450008
2007.03.01 10:30:00;0xAAAD0;2000;000210450008
2007.03.01 15:30:00;0xAAB78;2000;000215325008
2025.07.24 00:30:00;0xAADD0;2000;000000000008
2025.07.24 01:15:00;0xAAF38;2000;000000000008
2025.07.24 01:30:00;0xAB2C0;2000;000000000008
2025.07.24 00:00:00;0xAB498;2000;000303000708
2025.07.24 03:00:00;0xAB4A8;2000;000000000F08
2007.01.01 00:00:00;0xABD08;2000;000000000008
2007.01.01 00:00:00;0xAC1F0;2000;000F01000108
2007.01.01 01:00:00;0xAC200;2000;000000000008
2007.03.01 01:00:00;0xAC2F0;2000;000000000708
2003.07.01 00:00:00;0xAC7E0;2000;000000000008
2003.03.01 01:00:00;0xAC800;2000;000000000108
2003.01.01 00:00:00;0xAE578;2000;000000000108
2003.01.01 00:00:00;0xAE6A0;2000;000100000108
2003.01.01 00:00:00;0xAE6B0;2000;000000003F08
2007.03.01 00:00:00;0xAE760;2000;030000000F08
2001.03.01 01:00:00;0xAE780;2000;000000000308
